"CurSim","missingprop_autocor","pred","se","date","GPP","missingness","type","run_no"
83,"propMissAct_0.23_autoCorr_0.48",-0.290940150998121,0.802669699306997,2013-12-31,-0.652720778025846,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",0.132346261512759,0.856885087840139,2014-01-01,-0.872731313808156,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",0.0611670171374533,0.864185642913079,2014-01-02,-0.997448953547836,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",0.0766339847763747,0.865200262207441,2014-01-03,-0.912356553248374,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",0.0540330605576585,0.86534185895859,2014-01-04,-0.361659689863875,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.41143767846283,0.86536163107803,2014-01-05,-3.30224602916798,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.689429370390963,0.865364392215327,2014-01-06,-0.86609053874533,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.000122640498608708,0.865364777806998,2014-01-07,-0.998382953950892,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",0.358026907880682,0.865364831654798,2014-01-08,-0.601968992353489,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.0818551011474537,0.865364839174634,2014-01-09,-1.19126607859835,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.309750946470976,0.865364840224778,2014-01-10,NA,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.701966889883252,0.86536484037143,2014-01-11,-1.13473333794051,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.532506721614808,0.86536484039191,2014-01-12,-1.76754450934185,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.572827452237062,0.86536484039477,2014-01-13,-1.91196882145039,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.50908072991226,0.86536484039517,2014-01-14,-0.917062823440351,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.512042141287947,0.865364840395225,2014-01-15,-1.0014252217898,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.389200848596481,0.865364840395233,2014-01-16,-3.17494095492972,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.469230055278508,0.865364840395234,2014-01-17,-1.2905292292941,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.391943710009889,0.865364840395235,2014-01-18,-0.762845265347764,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.452027287788432,0.865364840395235,2014-01-19,-1.20169320016488,"MAR","dropNA_simple",83
83,"propMissAct_0.23_autoCorr_0.48",-0.42007810160805,0.865364840395235,2014-01-20,-1.22414312793057,"MAR","dropNA_simple",83
