"CurSim","missingprop_autocor","pred","se","date","GPP","missingness","type","run_no"
105,"propMissAct_0.25_autoCorr_0.78",-0.308873664316283,0.721446322411951,2013-12-31,-0.652720778025846,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.145924646681138,0.780182985607926,2014-01-01,-0.872731313808156,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.0728115432970907,0.789703659089431,2014-01-02,-0.997448953547836,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.0886682496903506,0.791305670083539,2014-01-03,-0.912356553248374,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.0720605841772835,0.791576823579331,2014-01-04,-0.361659689863875,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.42953637478979,0.791622763704567,2014-01-05,-3.30224602916798,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.721668800560551,0.791630548395886,2014-01-06,-0.86609053874533,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.0117626031994419,0.791631867572241,2014-01-07,-0.998382953950892,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.394558460899146,0.791632091117979,2014-01-08,-0.601968992353489,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.07961909990596,0.79163212899975,2014-01-09,-1.19126607859835,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.318266350481066,0.791632135419147,2014-01-10,NA,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.733360872886425,0.79163213650697,2014-01-11,-1.13473333794051,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.561507480381746,0.791632136691311,2014-01-12,-1.76754450934185,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.599929166857275,0.79163213672255,2014-01-13,-1.91196882145039,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.53542973335818,0.791632136727843,2014-01-14,-0.917062823440351,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.53845127419253,0.79163213672874,2014-01-15,-1.0014252217898,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.404999642287217,0.791632136728892,2014-01-16,-3.17494095492972,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.487271936451068,0.791632136728918,2014-01-17,-1.2905292292941,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.408405217949243,0.791632136728922,2014-01-18,-0.762845265347764,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.467883023474325,0.791632136728923,2014-01-19,-1.20169320016488,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.434659525497134,0.791632136728923,2014-01-20,-1.22414312793057,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.163669613936001,0.791632136728923,2014-01-21,-0.85549725940086,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.633761255155078,0.791632136728923,2014-01-22,-0.341929286950213,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.108288546425067,0.791632136728923,2014-01-23,-2.08749925690214,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.0328332010560136,0.791632136728923,2014-01-24,-1.08197550596616,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.205413847760605,0.791632136728923,2014-01-25,-1.65449132442466,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.358734206845491,0.791632136728923,2014-01-26,-1.4574538118164,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.155032666704907,0.791632136728923,2014-01-27,NA,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.0305215718397991,0.791632136728923,2014-01-28,NA,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.145140810669104,0.791632136728923,2014-01-29,-0.955581139625831,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.0646000110852449,0.791632136728923,2014-01-30,-0.920195703683634,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.0199572109709982,0.791632136728923,2014-01-31,-0.672076111835849,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.201093359592572,0.791632136728923,2014-02-01,-1.21054881980603,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.127575569998842,0.791632136728923,2014-02-02,-1.08310062346766,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.0317146992719354,0.791632136728923,2014-02-03,NA,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.066562789798159,0.791632136728923,2014-02-04,-0.737384907460514,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.0424989660522686,0.791632136728923,2014-02-05,-0.602091774444147,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",-0.200703438684144,0.791632136728923,2014-02-06,-1.36048606228077,"MAR","dropNA_simple",105
105,"propMissAct_0.25_autoCorr_0.78",0.0960105824884737,0.791632136728923,2014-02-07,-0.590731367284474,"MAR","dropNA_simple",105
