"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
17,"propMissAct_0.25_autoCorr_0.48","ar1",0.410880524706893,0.043494247961158,"MAR","dropNA_simple",17
17,"propMissAct_0.25_autoCorr_0.48","intercept",4.31876957001652,0.595082642889508,"MAR","dropNA_simple",17
17,"propMissAct_0.25_autoCorr_0.48","xreg1",1.74423544657438,0.167886210010012,"MAR","dropNA_simple",17
17,"propMissAct_0.25_autoCorr_0.48","xreg2",-1.37020461626147,0.167422361880229,"MAR","dropNA_simple",17
17,"propMissAct_0.25_autoCorr_0.48","sigma",0.523524793669055,NA,"MAR","dropNA_simple",17
17,"propMissAct_0.44_autoCorr_0.5","ar1",0.406805863609786,0.0489536910962214,"MAR","dropNA_simple",17
17,"propMissAct_0.44_autoCorr_0.5","intercept",4.38187170207223,0.741124566408225,"MAR","dropNA_simple",17
17,"propMissAct_0.44_autoCorr_0.5","xreg1",1.60524413054217,0.207157337412181,"MAR","dropNA_simple",17
17,"propMissAct_0.44_autoCorr_0.5","xreg2",-1.37640015413785,0.208973869442627,"MAR","dropNA_simple",17
17,"propMissAct_0.44_autoCorr_0.5","sigma",0.622493522922142,NA,"MAR","dropNA_simple",17
17,"propMissAct_0.61_autoCorr_0.5","ar1",0.409219311718466,0.061727434068303,"MAR","dropNA_simple",17
17,"propMissAct_0.61_autoCorr_0.5","intercept",5.0662626503002,0.808399835370553,"MAR","dropNA_simple",17
17,"propMissAct_0.61_autoCorr_0.5","xreg1",1.66394852322368,0.212179151187267,"MAR","dropNA_simple",17
17,"propMissAct_0.61_autoCorr_0.5","xreg2",-1.58201567797522,0.229493763506466,"MAR","dropNA_simple",17
17,"propMissAct_0.61_autoCorr_0.5","sigma",0.430093366313951,NA,"MAR","dropNA_simple",17
17,"propMissAct_0.25_autoCorr_0.48","ar1",0.391876212919988,0.0489594900625496,"MAR","dropNA_complete",17
17,"propMissAct_0.25_autoCorr_0.48","intercept",4.21203011551343,0.608203922076662,"MAR","dropNA_complete",17
17,"propMissAct_0.25_autoCorr_0.48","xreg1",1.65300772349399,0.182843436745635,"MAR","dropNA_complete",17
17,"propMissAct_0.25_autoCorr_0.48","xreg2",-1.32375267125095,0.171167728525808,"MAR","dropNA_complete",17
