date,turb,Q
4/27/2014,9.526041667,3091.647917
4/28/2014,12.3875,2935.455208
4/29/2014,8.469791667,2529.310208
4/30/2014,7.158333333,2364.167708
5/1/2014,6.710416667,2284.978021
5/2/2014,6.60625,2334.167813
5/3/2014,9.576041667,2852.504167
5/4/2014,10.13541667,3195.494583
5/5/2014,9.840625,3137.39375
5/6/2014,7.65,2690.902813
5/7/2014,8.802083333,2606.189167
5/8/2014,7.189583333,2423.808542
5/9/2014,7.758333333,2532.853333
5/10/2014,7.526041667,2742.650938
5/11/2014,6.1125,2609.390521
5/12/2014,6.853125,2499.919583
5/13/2014,5.56875,2233.504688
5/14/2014,9.671875,2049.58375
5/15/2014,8.153125,2058.951042
5/16/2014,6.017708333,2132.487708
5/17/2014,5.019791667,2105.952188
5/18/2014,4.627083333,2062.746146
5/19/2014,4.34375,1862.203854
5/20/2014,4.46875,1622.62625
5/21/2014,3.810416667,1470.989688
5/22/2014,3.278645833,1410.19875
5/23/2014,3.190625,1391.465
5/24/2014,3.159375,1436.165313
5/25/2014,2.907291667,1404.905
5/26/2014,3.317708333,1467.968125
5/27/2014,2.78125,1405.99125
5/28/2014,2.877083333,1421.252917
5/29/2014,2.729166667,1434.083542
5/30/2014,2.790625,1404.618333
5/31/2014,2.651041667,1254.183958
6/1/2014,2.905208333,1185.336563
6/2/2014,2.625520833,1162.126771
6/3/2014,2.790104167,1172.289688
6/4/2014,2.722916667,1149.677708
6/5/2014,2.630208333,1102.510313
6/6/2014,2.843541667,977.2109375
6/7/2014,2.7225,915.1625
6/8/2014,2.895833333,902.0894792
6/9/2014,2.704166667,889.1165625
6/10/2014,2.645833333,872.8196875
6/11/2014,2.365625,847.4710417
6/12/2014,2.53125,844.0944792
6/13/2014,3.49375,880.3338542
6/14/2014,2.877083333,818.2575
6/15/2014,2.677083333,799.4533333
6/16/2014,2.952083333,840.138125
6/17/2014,3.030208333,929.87625
6/18/2014,3.125520833,945.2091667
6/19/2014,2.820833333,913.960625
6/20/2014,2.891666667,888.5619792
6/21/2014,2.681770833,814.2325
6/22/2014,2.862708333,818.7665625
6/23/2014,2.906770833,840.5621875
6/24/2014,2.957291667,795.19375
6/25/2014,2.624791667,774.4666667
6/26/2014,2.896354167,771.924375
6/27/2014,2.697395833,767.4425
6/28/2014,3.317708333,834.445625
6/29/2014,3.277604167,893.5444792
6/30/2014,3.108854167,872.0004167
7/1/2014,2.846354167,773.1861458
7/2/2014,2.954166667,711.7510417
7/3/2014,3.0375,678.6203125
7/4/2014,3.0475,638.6591667
7/5/2014,2.932291667,617.8728125
7/6/2014,2.880208333,606.0288542
7/7/2014,2.84375,607.2055208
7/8/2014,2.841666667,582.0394792
7/9/2014,2.963020833,582.1048958
7/10/2014,3.141145833,574.27875
7/11/2014,3.155208333,549.5519792
7/12/2014,3.0225,500.465625
7/13/2014,3.278125,471.2596875
7/14/2014,3.433333333,466.3875
7/15/2014,3.294791667,459.7530208
7/16/2014,3.291666667,453.900625
7/17/2014,3.582291667,446.4773958
7/18/2014,3.557291667,427.2126042
7/19/2014,3.383333333,433.8504167
7/20/2014,3.197916667,457.7322917
7/21/2014,3.105208333,467.7652083
7/22/2014,3.109375,460.74875
7/23/2014,7.508333333,622.9634375
7/24/2014,5.747916667,666.1963542
7/25/2014,3.779166667,548.6426042
7/26/2014,3.400520833,512.6385417
7/27/2014,3.376041667,461.374375
7/28/2014,3.240208333,458.9386458
7/29/2014,3.280208333,429.1946875
7/30/2014,3.303645833,412.946875
7/31/2014,3.3390625,424.1309375
8/1/2014,3.135,403.6370833
8/2/2014,3.072916667,406.5446875
