"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
146,"146","propMissAct_0.04_autoCorr_0.41","MAR","Data Deletion Simple","ar1",0.644801988200219,"A",0.0406176213060132
146,"146","propMissAct_0.08_autoCorr_0.4","MAR","Data Deletion Simple","ar1",0.621412612575359,"B",0.0425847067314166
146,"146","propMissAct_0.18_autoCorr_0.49","MAR","Data Deletion Simple","ar1",0.564374412909563,"C",0.0476915611957822
146,"146","propMissAct_0.2_autoCorr_0.47","MAR","Data Deletion Simple","ar1",0.615672535716868,"D",0.0459294447882517
146,"146","propMissAct_0.29_autoCorr_0.57","MAR","Data Deletion Simple","ar1",0.618232520795208,"E",0.0487671760698256
146,"146","propMissAct_0.25_autoCorr_0.5","MAR","Data Deletion Simple","ar1",0.547352605952203,"F",0.0506970327313776
146,"146","propMissAct_0.31_autoCorr_0.41","MAR","Data Deletion Simple","ar1",0.541138062466866,"G",0.053035912029524
146,"146","propMissAct_0.39_autoCorr_0.56","MAR","Data Deletion Simple","ar1",0.499621338292113,"H",0.0582932236238026
146,"146","propMissAct_0.41_autoCorr_0.56","MAR","Data Deletion Simple","ar1",0.499717853603873,"I",0.058910920279771
146,"146","propMissAct_0.45_autoCorr_0.53","MAR","Data Deletion Simple","ar1",0.526823483391752,"J",0.0609820301416408
146,"146","propMissAct_0.57_autoCorr_0.48","MAR","Data Deletion Simple","ar1",0.45046264684013,"K",0.0722338558987856
146,"146","propMissAct_0.59_autoCorr_0.49","MAR","Data Deletion Simple","ar1",0.466132860916998,"L",0.0752325112330074
146,"146","propMissAct_0.61_autoCorr_0.5","MAR","Data Deletion Simple","ar1",0.47789670167707,"M",0.0739310075080924
146,"146","propMissAct_0.69_autoCorr_0.42","MAR","Data Deletion Simple","ar1",0.269280750128908,"N",0.0913283848741668
146,"146","propMissAct_0.79_autoCorr_0.46","MAR","Data Deletion Simple","ar1",0.503683751369855,"O",0.0996226150565135
146,"146","propMissAct_0.04_autoCorr_0.41","MAR","Data Deletion Simple","intercept",0.264889564663746,"A",0.140587525923412
146,"146","propMissAct_0.08_autoCorr_0.4","MAR","Data Deletion Simple","intercept",0.305214343567642,"B",0.135630085531549
146,"146","propMissAct_0.18_autoCorr_0.49","MAR","Data Deletion Simple","intercept",0.275805717551946,"C",0.130625390947479
146,"146","propMissAct_0.2_autoCorr_0.47","MAR","Data Deletion Simple","intercept",0.260802417808895,"D",0.144200513379444
146,"146","propMissAct_0.29_autoCorr_0.57","MAR","Data Deletion Simple","intercept",0.354022191353612,"E",0.156006116090858
146,"146","propMissAct_0.25_autoCorr_0.5","MAR","Data Deletion Simple","intercept",0.366673556165095,"F",0.130372730465813
146,"146","propMissAct_0.31_autoCorr_0.41","MAR","Data Deletion Simple","intercept",0.268574845194576,"G",0.136016360536572
146,"146","propMissAct_0.39_autoCorr_0.56","MAR","Data Deletion Simple","intercept",0.300614420974855,"H",0.141685748306843
146,"146","propMissAct_0.41_autoCorr_0.56","MAR","Data Deletion Simple","intercept",0.220973178668206,"I",0.142026214494162
146,"146","propMissAct_0.45_autoCorr_0.53","MAR","Data Deletion Simple","intercept",0.151120766559564,"J",0.157143502045301
146,"146","propMissAct_0.57_autoCorr_0.48","MAR","Data Deletion Simple","intercept",0.30423478614061,"K",0.151880809286946
146,"146","propMissAct_0.59_autoCorr_0.49","MAR","Data Deletion Simple","intercept",0.271438384217181,"L",0.173619287147287
146,"146","propMissAct_0.61_autoCorr_0.5","MAR","Data Deletion Simple","intercept",0.209226328506074,"M",0.172544081387965
146,"146","propMissAct_0.69_autoCorr_0.42","MAR","Data Deletion Simple","intercept",0.429385179655836,"N",0.14954029619025
146,"146","propMissAct_0.79_autoCorr_0.46","MAR","Data Deletion Simple","intercept",0.289781622726349,"O",0.22171238292303
146,"146","propMissAct_0.04_autoCorr_0.41","MAR","Data Deletion Simple","light",1.22590058181764,"A",0.0436211953515731
146,"146","propMissAct_0.08_autoCorr_0.4","MAR","Data Deletion Simple","light",1.17187679079437,"B",0.0453279969444256
146,"146","propMissAct_0.18_autoCorr_0.49","MAR","Data Deletion Simple","light",1.18408985608114,"C",0.0507207988494689
146,"146","propMissAct_0.2_autoCorr_0.47","MAR","Data Deletion Simple","light",1.15470386870589,"D",0.0476827187244074
146,"146","propMissAct_0.29_autoCorr_0.57","MAR","Data Deletion Simple","light",1.21519646384816,"E",0.0529972791841252
146,"146","propMissAct_0.25_autoCorr_0.5","MAR","Data Deletion Simple","light",1.2264695830468,"F",0.0522081949814017
146,"146","propMissAct_0.31_autoCorr_0.41","MAR","Data Deletion Simple","light",1.19475754787571,"G",0.0552900314213629
146,"146","propMissAct_0.39_autoCorr_0.56","MAR","Data Deletion Simple","light",1.21367397057902,"H",0.0653851344798544
146,"146","propMissAct_0.41_autoCorr_0.56","MAR","Data Deletion Simple","light",1.29980451340872,"I",0.0674718272954351
146,"146","propMissAct_0.45_autoCorr_0.53","MAR","Data Deletion Simple","light",1.20101771022686,"J",0.0697841129984553
146,"146","propMissAct_0.57_autoCorr_0.48","MAR","Data Deletion Simple","light",1.24314166591188,"K",0.0744244997301278
146,"146","propMissAct_0.59_autoCorr_0.49","MAR","Data Deletion Simple","light",1.14779331779077,"L",0.0844381467308264
146,"146","propMissAct_0.61_autoCorr_0.5","MAR","Data Deletion Simple","light",1.23191762002848,"M",0.080923107882799
146,"146","propMissAct_0.69_autoCorr_0.42","MAR","Data Deletion Simple","light",1.31455618717914,"N",0.104126494266418
146,"146","propMissAct_0.79_autoCorr_0.46","MAR","Data Deletion Simple","light",1.15868290960605,"O",0.113013386576756
146,"146","propMissAct_0.04_autoCorr_0.41","MAR","Data Deletion Simple","discharge",0.551560513230516,"A",0.0448933713772846
146,"146","propMissAct_0.08_autoCorr_0.4","MAR","Data Deletion Simple","discharge",0.560962724830986,"B",0.0462394204444885
146,"146","propMissAct_0.18_autoCorr_0.49","MAR","Data Deletion Simple","discharge",0.546318616649515,"C",0.0524952449211226
146,"146","propMissAct_0.2_autoCorr_0.47","MAR","Data Deletion Simple","discharge",0.555252353627031,"D",0.0505109149013266
146,"146","propMissAct_0.29_autoCorr_0.57","MAR","Data Deletion Simple","discharge",0.552709222531453,"E",0.0554413509022587
146,"146","propMissAct_0.25_autoCorr_0.5","MAR","Data Deletion Simple","discharge",0.555923852952523,"F",0.0548750738251904
146,"146","propMissAct_0.31_autoCorr_0.41","MAR","Data Deletion Simple","discharge",0.587343677298945,"G",0.0560714549870761
146,"146","propMissAct_0.39_autoCorr_0.56","MAR","Data Deletion Simple","discharge",0.55131374312393,"H",0.068223939739081
146,"146","propMissAct_0.41_autoCorr_0.56","MAR","Data Deletion Simple","discharge",0.583612911674575,"I",0.0699738156348816
