"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
674,"674","propMissAct_0.06_autoCorr_0.47","MAR","Data Deletion Simple","ar1",0.643724767325957,"A",0.0414275089838558
674,"674","propMissAct_0.06_autoCorr_0.44","MAR","Data Deletion Simple","ar1",0.64608197682171,"B",0.0413507255176026
674,"674","propMissAct_0.2_autoCorr_0.51","MAR","Data Deletion Simple","ar1",0.571410085720895,"C",0.0480558444079614
674,"674","propMissAct_0.16_autoCorr_0.46","MAR","Data Deletion Simple","ar1",0.581362622070594,"D",0.0467298157162959
674,"674","propMissAct_0.28_autoCorr_0.52","MAR","Data Deletion Simple","ar1",0.623908717107318,"E",0.0482038640693189
674,"674","propMissAct_0.32_autoCorr_0.51","MAR","Data Deletion Simple","ar1",0.578040623068562,"F",0.0521046000349764
674,"674","propMissAct_0.32_autoCorr_0.61","MAR","Data Deletion Simple","ar1",0.613545323090541,"G",0.0500874438604111
674,"674","propMissAct_0.46_autoCorr_0.46","MAR","Data Deletion Simple","ar1",0.441808035584743,"H",0.0642278932208247
674,"674","propMissAct_0.46_autoCorr_0.5","MAR","Data Deletion Simple","ar1",0.458904032518102,"I",0.0634302319273108
674,"674","propMissAct_0.47_autoCorr_0.44","MAR","Data Deletion Simple","ar1",0.557415351824067,"J",0.0603232360285516
674,"674","propMissAct_0.63_autoCorr_0.44","MAR","Data Deletion Simple","ar1",0.575688633735633,"K",0.0706381572760257
674,"674","propMissAct_0.5_autoCorr_0.54","MAR","Data Deletion Simple","ar1",0.556436585858512,"L",0.061840535031361
674,"674","propMissAct_0.72_autoCorr_0.5","MAR","Data Deletion Simple","ar1",0.475705990158905,"M",0.0880963306915737
674,"674","propMissAct_0.65_autoCorr_0.5","MAR","Data Deletion Simple","ar1",0.554104183324535,"N",0.0738025131822174
674,"674","propMissAct_0.69_autoCorr_0.57","MAR","Data Deletion Simple","ar1",0.420658803386722,"O",0.0886836413027342
674,"674","propMissAct_0.06_autoCorr_0.47","MAR","Data Deletion Simple","intercept",-0.109016843672546,"A",0.136616807908578
674,"674","propMissAct_0.06_autoCorr_0.44","MAR","Data Deletion Simple","intercept",-0.0968577053320104,"B",0.138236834782274
674,"674","propMissAct_0.2_autoCorr_0.51","MAR","Data Deletion Simple","intercept",-0.131844205078702,"C",0.131474012440815
674,"674","propMissAct_0.16_autoCorr_0.46","MAR","Data Deletion Simple","intercept",-0.0629201850016492,"D",0.126449550857089
