"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
16,"16","propMissAct_0.08_autoCorr_0.58","MAR","Data Deletion Simple","ar1",0.184026851589059,"A",0.0546706722996518
16,"16","propMissAct_0.11_autoCorr_0.48","MAR","Data Deletion Simple","ar1",0.154145353036682,"B",0.0552165209580974
16,"16","propMissAct_0.18_autoCorr_0.5","MAR","Data Deletion Simple","ar1",0.17034432044414,"C",0.0577551723661712
16,"16","propMissAct_0.19_autoCorr_0.47","MAR","Data Deletion Simple","ar1",0.136944857159485,"D",0.0582432148672961
16,"16","propMissAct_0.27_autoCorr_0.61","MAR","Data Deletion Simple","ar1",0.0739911279792204,"E",0.0616526395245602
16,"16","propMissAct_0.31_autoCorr_0.59","MAR","Data Deletion Simple","ar1",0.0900284744701171,"F",0.0637198108990394
16,"16","propMissAct_0.32_autoCorr_0.52","MAR","Data Deletion Simple","ar1",0.166360418218092,"G",0.0634787963635604
16,"16","propMissAct_0.35_autoCorr_0.46","MAR","Data Deletion Simple","ar1",0.14031882806193,"H",0.0646499950217858
16,"16","propMissAct_0.45_autoCorr_0.53","MAR","Data Deletion Simple","ar1",0.256459946577249,"I",0.0683018231621031
16,"16","propMissAct_0.43_autoCorr_0.51","MAR","Data Deletion Simple","ar1",0.0993697366307155,"J",0.0690600076074566
16,"16","propMissAct_0.47_autoCorr_0.5","MAR","Data Deletion Simple","ar1",0.0441002031660843,"K",0.072724154228091
16,"16","propMissAct_0.61_autoCorr_0.55","MAR","Data Deletion Simple","ar1",0.166907287923565,"L",0.0840561824248592
16,"16","propMissAct_0.68_autoCorr_0.41","MAR","Data Deletion Simple","ar1",0.202600848756529,"M",0.0944606763214341
16,"16","propMissAct_0.68_autoCorr_0.48","MAR","Data Deletion Simple","ar1",0.119234988010212,"N",0.0929430107455603
16,"16","propMissAct_0.76_autoCorr_0.47","MAR","Data Deletion Simple","ar1",0.00970177699106943,"O",0.110077027144608
16,"16","propMissAct_0.08_autoCorr_0.58","MAR","Data Deletion Simple","intercept",-0.138583928615153,"A",0.0644468325880929
16,"16","propMissAct_0.11_autoCorr_0.48","MAR","Data Deletion Simple","intercept",-0.133571677773874,"B",0.0641246131610623
16,"16","propMissAct_0.18_autoCorr_0.5","MAR","Data Deletion Simple","intercept",-0.130612657284513,"C",0.0688575467057335
16,"16","propMissAct_0.19_autoCorr_0.47","MAR","Data Deletion Simple","intercept",-0.196133564746197,"D",0.0665386534260607
16,"16","propMissAct_0.27_autoCorr_0.61","MAR","Data Deletion Simple","intercept",-0.176653825042773,"E",0.0620722548023095
16,"16","propMissAct_0.31_autoCorr_0.59","MAR","Data Deletion Simple","intercept",-0.155009909265176,"F",0.0677494809469254
16,"16","propMissAct_0.32_autoCorr_0.52","MAR","Data Deletion Simple","intercept",-0.156130579871142,"G",0.0688869372401118
16,"16","propMissAct_0.35_autoCorr_0.46","MAR","Data Deletion Simple","intercept",-0.231987360755014,"H",0.0728310520805767
16,"16","propMissAct_0.45_autoCorr_0.53","MAR","Data Deletion Simple","intercept",-0.143749193779479,"I",0.0928645533085555
16,"16","propMissAct_0.43_autoCorr_0.51","MAR","Data Deletion Simple","intercept",-0.103013206380309,"J",0.0739779559509827
16,"16","propMissAct_0.47_autoCorr_0.5","MAR","Data Deletion Simple","intercept",-0.135109586352184,"K",0.0748327523031809
16,"16","propMissAct_0.61_autoCorr_0.55","MAR","Data Deletion Simple","intercept",-0.111984354703406,"L",0.0985036634105143
16,"16","propMissAct_0.68_autoCorr_0.41","MAR","Data Deletion Simple","intercept",-0.0830365205877237,"M",0.109605594308478
16,"16","propMissAct_0.68_autoCorr_0.48","MAR","Data Deletion Simple","intercept",-0.197807651244813,"N",0.105057060228557
16,"16","propMissAct_0.76_autoCorr_0.47","MAR","Data Deletion Simple","intercept",-0.132703471569381,"O",0.0969204601656351
16,"16","propMissAct_0.08_autoCorr_0.58","MAR","Data Deletion Simple","light",0.34594155080873,"A",0.0526363548656442
16,"16","propMissAct_0.11_autoCorr_0.48","MAR","Data Deletion Simple","light",0.366493256645544,"B",0.0539188238841737
16,"16","propMissAct_0.18_autoCorr_0.5","MAR","Data Deletion Simple","light",0.365285082033888,"C",0.0576762856831497
16,"16","propMissAct_0.19_autoCorr_0.47","MAR","Data Deletion Simple","light",0.393202347176753,"D",0.0580788453231309
16,"16","propMissAct_0.27_autoCorr_0.61","MAR","Data Deletion Simple","light",0.337549691707373,"E",0.0563821094511978
16,"16","propMissAct_0.31_autoCorr_0.59","MAR","Data Deletion Simple","light",0.384358521971885,"F",0.061691979064087
16,"16","propMissAct_0.32_autoCorr_0.52","MAR","Data Deletion Simple","light",0.305042341981572,"G",0.0568128197339829
16,"16","propMissAct_0.35_autoCorr_0.46","MAR","Data Deletion Simple","light",0.398842836682358,"H",0.0632007253216416
16,"16","propMissAct_0.45_autoCorr_0.53","MAR","Data Deletion Simple","light",0.338556852817987,"I",0.0689414125596375
16,"16","propMissAct_0.43_autoCorr_0.51","MAR","Data Deletion Simple","light",0.359398569054289,"J",0.0682379852659782
16,"16","propMissAct_0.47_autoCorr_0.5","MAR","Data Deletion Simple","light",0.407314839549132,"K",0.0751474614349096
16,"16","propMissAct_0.61_autoCorr_0.55","MAR","Data Deletion Simple","light",0.323554709401047,"L",0.085225122018446
16,"16","propMissAct_0.68_autoCorr_0.41","MAR","Data Deletion Simple","light",0.291121695170934,"M",0.0839029635536333
16,"16","propMissAct_0.68_autoCorr_0.48","MAR","Data Deletion Simple","light",0.416543783376279,"N",0.09555394819092
16,"16","propMissAct_0.76_autoCorr_0.47","MAR","Data Deletion Simple","light",0.366931909701568,"O",0.0907385482616363
16,"16","propMissAct_0.08_autoCorr_0.58","MAR","Data Deletion Simple","discharge",-1.47592275646873,"A",0.0489970970401563
16,"16","propMissAct_0.11_autoCorr_0.48","MAR","Data Deletion Simple","discharge",-1.48103913748635,"B",0.0515594958161915
16,"16","propMissAct_0.18_autoCorr_0.5","MAR","Data Deletion Simple","discharge",-1.48445274736409,"C",0.0525619217336925
16,"16","propMissAct_0.19_autoCorr_0.47","MAR","Data Deletion Simple","discharge",-1.49496423505172,"D",0.0539198285214243
16,"16","propMissAct_0.27_autoCorr_0.61","MAR","Data Deletion Simple","discharge",-1.52283943603576,"E",0.0536189817631224
16,"16","propMissAct_0.31_autoCorr_0.59","MAR","Data Deletion Simple","discharge",-1.52961427856995,"F",0.0570420801002501
16,"16","propMissAct_0.32_autoCorr_0.52","MAR","Data Deletion Simple","discharge",-1.53578327797552,"G",0.0544853903653736
16,"16","propMissAct_0.35_autoCorr_0.46","MAR","Data Deletion Simple","discharge",-1.51141860337421,"H",0.0595852464867222
16,"16","propMissAct_0.45_autoCorr_0.53","MAR","Data Deletion Simple","discharge",-1.53208280764107,"I",0.0631596461029486
16,"16","propMissAct_0.43_autoCorr_0.51","MAR","Data Deletion Simple","discharge",-1.50740387100851,"J",0.0617446592327382
16,"16","propMissAct_0.47_autoCorr_0.5","MAR","Data Deletion Simple","discharge",-1.50732321634682,"K",0.0688849710920428
16,"16","propMissAct_0.61_autoCorr_0.55","MAR","Data Deletion Simple","discharge",-1.53067508267931,"L",0.0836778582660599
16,"16","propMissAct_0.68_autoCorr_0.41","MAR","Data Deletion Simple","discharge",-1.54080705881624,"M",0.0731392444770724
16,"16","propMissAct_0.68_autoCorr_0.48","MAR","Data Deletion Simple","discharge",-1.51627730098626,"N",0.087967405136481
16,"16","propMissAct_0.76_autoCorr_0.47","MAR","Data Deletion Simple","discharge",-1.34166416916651,"O",0.102080330464541
16,"16","propMissAct_0.08_autoCorr_0.58","MAR","Data Deletion Simple","sigma",0.923079834228018,"A",NA
16,"16","propMissAct_0.11_autoCorr_0.48","MAR","Data Deletion Simple","sigma",0.952636129189175,"B",NA
16,"16","propMissAct_0.18_autoCorr_0.5","MAR","Data Deletion Simple","sigma",0.976753282921954,"C",NA
16,"16","propMissAct_0.19_autoCorr_0.47","MAR","Data Deletion Simple","sigma",0.967150247796327,"D",NA
16,"16","propMissAct_0.27_autoCorr_0.61","MAR","Data Deletion Simple","sigma",0.874698845674206,"E",NA
16,"16","propMissAct_0.31_autoCorr_0.59","MAR","Data Deletion Simple","sigma",0.961100828245204,"F",NA
16,"16","propMissAct_0.32_autoCorr_0.52","MAR","Data Deletion Simple","sigma",0.81480722212874,"G",NA
16,"16","propMissAct_0.35_autoCorr_0.46","MAR","Data Deletion Simple","sigma",0.925373864354979,"H",NA
16,"16","propMissAct_0.45_autoCorr_0.53","MAR","Data Deletion Simple","sigma",0.960901833589053,"I",NA
16,"16","propMissAct_0.43_autoCorr_0.51","MAR","Data Deletion Simple","sigma",0.921204993905738,"J",NA
16,"16","propMissAct_0.47_autoCorr_0.5","MAR","Data Deletion Simple","sigma",0.979676894881745,"K",NA
16,"16","propMissAct_0.61_autoCorr_0.55","MAR","Data Deletion Simple","sigma",0.958931455126005,"L",NA
16,"16","propMissAct_0.68_autoCorr_0.41","MAR","Data Deletion Simple","sigma",0.879578475273995,"M",NA
16,"16","propMissAct_0.68_autoCorr_0.48","MAR","Data Deletion Simple","sigma",0.994869187330577,"N",NA
16,"16","propMissAct_0.76_autoCorr_0.47","MAR","Data Deletion Simple","sigma",0.805422190175755,"O",NA
16,"16","propMissAct_0.08_autoCorr_0.58","MAR","Kalman filter","ar1",0.195449138271509,"A",0.0551494365158713
16,"16","propMissAct_0.11_autoCorr_0.48","MAR","Kalman filter","ar1",0.166881219080466,"B",0.0570472447701211
16,"16","propMissAct_0.18_autoCorr_0.5","MAR","Kalman filter","ar1",0.188835588064853,"C",0.0613344365654282
16,"16","propMissAct_0.19_autoCorr_0.47","MAR","Kalman filter","ar1",0.20507549664937,"D",0.0604861671360715
16,"16","propMissAct_0.27_autoCorr_0.61","MAR","Kalman filter","ar1",0.0759305593836763,"E",0.0636653060864201
16,"16","propMissAct_0.31_autoCorr_0.59","MAR","Kalman filter","ar1",0.111684591222087,"F",0.0683127302287163
16,"16","propMissAct_0.32_autoCorr_0.52","MAR","Kalman filter","ar1",0.198518123341895,"G",0.0683240645195059
16,"16","propMissAct_0.35_autoCorr_0.46","MAR","Kalman filter","ar1",0.167547840550891,"H",0.0715144444126532
16,"16","propMissAct_0.45_autoCorr_0.53","MAR","Kalman filter","ar1",0.221235836188182,"I",0.074695639387046
16,"16","propMissAct_0.43_autoCorr_0.51","MAR","Kalman filter","ar1",0.150834588846385,"J",0.0754964745327165
16,"16","propMissAct_0.47_autoCorr_0.5","MAR","Kalman filter","ar1",0.0645834320537774,"K",0.0838730973056125
16,"16","propMissAct_0.61_autoCorr_0.55","MAR","Kalman filter","ar1",0.246031319437772,"L",0.109856685062824
16,"16","propMissAct_0.68_autoCorr_0.41","MAR","Kalman filter","ar1",0.281142261699848,"M",0.110873526392362
16,"16","propMissAct_0.68_autoCorr_0.48","MAR","Kalman filter","ar1",0.135049919142054,"N",0.1102952185105
16,"16","propMissAct_0.76_autoCorr_0.47","MAR","Kalman filter","ar1",0.11159168751957,"O",0.151312871630085
16,"16","propMissAct_0.08_autoCorr_0.58","MAR","Kalman filter","intercept",-0.141413840007387,"A",0.0647004212008114
16,"16","propMissAct_0.11_autoCorr_0.48","MAR","Kalman filter","intercept",-0.128374931720026,"B",0.064340086718575
16,"16","propMissAct_0.18_autoCorr_0.5","MAR","Kalman filter","intercept",-0.136736317693696,"C",0.0690402244157796
16,"16","propMissAct_0.19_autoCorr_0.47","MAR","Kalman filter","intercept",-0.198075768440799,"D",0.0697545381793194
