"CurSim","simName","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
206,"206","propMissAct_0.08_autoCorr_0.66","MAR","Data Deletion Simple","ar1",0.16663508730612,"A",0.053820541971829
206,"206","propMissAct_0.1_autoCorr_0.37","MAR","Data Deletion Simple","ar1",0.159737655952843,"B",0.0544100181387845
206,"206","propMissAct_0.17_autoCorr_0.44","MAR","Data Deletion Simple","ar1",0.122894955607792,"C",0.0571178548201852
206,"206","propMissAct_0.19_autoCorr_0.43","MAR","Data Deletion Simple","ar1",0.167915418975574,"D",0.0581197496258056
206,"206","propMissAct_0.24_autoCorr_0.56","MAR","Data Deletion Simple","ar1",0.181160943160681,"E",0.0594753847713387
206,"206","propMissAct_0.28_autoCorr_0.49","MAR","Data Deletion Simple","ar1",0.186166323711977,"F",0.0605086009480974
206,"206","propMissAct_0.33_autoCorr_0.46","MAR","Data Deletion Simple","ar1",0.176481709651035,"G",0.0634196811179706
206,"206","propMissAct_0.34_autoCorr_0.5","MAR","Data Deletion Simple","ar1",0.197938559877138,"H",0.0635529179156315
206,"206","propMissAct_0.48_autoCorr_0.45","MAR","Data Deletion Simple","ar1",0.157113027178613,"I",0.0718787373895821
206,"206","propMissAct_0.54_autoCorr_0.62","MAR","Data Deletion Simple","ar1",0.104242320195776,"J",0.0769752977471161
206,"206","propMissAct_0.56_autoCorr_0.46","MAR","Data Deletion Simple","ar1",0.137695656421446,"K",0.0783491567326869
206,"206","propMissAct_0.59_autoCorr_0.49","MAR","Data Deletion Simple","ar1",0.134572767219297,"L",0.081015697227585
206,"206","propMissAct_0.64_autoCorr_0.53","MAR","Data Deletion Simple","ar1",0.135015013284532,"M",0.086847851318811
206,"206","propMissAct_0.69_autoCorr_0.48","MAR","Data Deletion Simple","ar1",-0.0287209929677822,"N",0.0943059200820486
206,"206","propMissAct_0.75_autoCorr_0.49","MAR","Data Deletion Simple","ar1",0.207683743955634,"O",0.104080950050153
206,"206","propMissAct_0.08_autoCorr_0.66","MAR","Data Deletion Simple","intercept",-0.459615932887821,"A",0.0651214691421997
206,"206","propMissAct_0.1_autoCorr_0.37","MAR","Data Deletion Simple","intercept",-0.45970894533183,"B",0.0676295365318753
206,"206","propMissAct_0.17_autoCorr_0.44","MAR","Data Deletion Simple","intercept",-0.492837808445743,"C",0.0678410605227482
206,"206","propMissAct_0.19_autoCorr_0.43","MAR","Data Deletion Simple","intercept",-0.455415836536305,"D",0.072268340901587
206,"206","propMissAct_0.24_autoCorr_0.56","MAR","Data Deletion Simple","intercept",-0.461309541093553,"E",0.076892180771535
