"","missingprop_autocor","parameter","mean","sd","2.5%","50%","97.5%","missingness","type","run_no","...1","...12"
"1","propMissAct_0.06_autoCorr_0.81","b_Intercept",4.92649886183856,0.561861965052483,3.79699200035172,4.93162217580533,6.02977002902804,"MAR","brms",10,NA,NA
"2","propMissAct_0.06_autoCorr_0.81","b_light",1.67129431575158,0.153958523349751,1.36399053737495,1.67300989781069,1.96720551516833,"MAR","brms",10,NA,NA
"3","propMissAct_0.06_autoCorr_0.81","b_Q",-1.53600268791726,0.156868712290138,-1.84638683440902,-1.53829694392955,-1.21876037023927,"MAR","brms",10,NA,NA
"4","propMissAct_0.06_autoCorr_0.81","phi",0.405799391478745,0.038988748196207,0.32933763577473,0.405493284064919,0.48214165433349,"MAR","brms",10,NA,NA
"5","propMissAct_0.06_autoCorr_0.81","sigma",0.759589943526456,0.0202974847748616,0.720951076827885,0.759136947976772,0.799796338748961,"MAR","brms",10,NA,NA
"6","propMissAct_0.06_autoCorr_0.81","Intercept",0.209322327038861,0.0480980824404263,0.113853071288727,0.209114424358069,0.304305060687415,"MAR","brms",10,NA,NA
"7","propMissAct_0.22_autoCorr_0.94","b_Intercept",5.55388294602909,0.680824333300497,4.18558683842085,5.5515673389954,6.88862171700062,"MAR","brms",10,NA,NA
"8","propMissAct_0.22_autoCorr_0.94","b_light",1.6593472525933,0.167782163037309,1.32218214116007,1.66230248792069,1.98211193914551,"MAR","brms",10,NA,NA
"9","propMissAct_0.22_autoCorr_0.94","b_Q",-1.72315650904679,0.192178033542837,-2.09757225537369,-1.72395120002535,-1.34003512302231,"MAR","brms",10,NA,NA
"10","propMissAct_0.22_autoCorr_0.94","phi",0.381065267089688,0.043346275246094,0.296755407896562,0.381804990653854,0.465971688968035,"MAR","brms",10,NA,NA
"11","propMissAct_0.22_autoCorr_0.94","sigma",0.777059484596547,0.0239442538424028,0.731045452355731,0.776655183311808,0.82549771379262,"MAR","brms",10,NA,NA
"12","propMissAct_0.22_autoCorr_0.94","Intercept",0.165558407088467,0.0526813940824277,0.0611166454056069,0.16540721841676,0.269758121058543,"MAR","brms",10,NA,NA
