"","missingprop_autocor","parameters","param_value","param_se","missingness","type","curSim","sim_no","simParams","missingnessName"
"35","1","sigma",1.46265971248253,NA,"MAR","simple drop NA",1002,"N_200_sim_2",NA,"propMissAct_0.5_autoCorr_0.12"
"36","1","phi",0.504678104866946,0.119075066051011,"MAR","comple case drop NA",1002,"N_200_sim_2",0.793780166096985,"propMissAct_0.5_autoCorr_0.12"
"37","1","intercept",-0.0327567263688272,0.32886607928309,"MAR","comple case drop NA",1002,"N_200_sim_2",-0.325369754349729,"propMissAct_0.5_autoCorr_0.12"
"38","1","xreg1",-0.796223282827976,0.150652413316404,"MAR","comple case drop NA",1002,"N_200_sim_2",-0.818698064145673,"propMissAct_0.5_autoCorr_0.12"
"39","1","xreg2",-0.0948372829430727,0.17981082815879,"MAR","comple case drop NA",1002,"N_200_sim_2",0.238157971073709,"propMissAct_0.5_autoCorr_0.12"
"40","1","sigma",1.5266519580019,NA,"MAR","comple case drop NA",1002,"N_200_sim_2",NA,"propMissAct_0.5_autoCorr_0.12"
"41",NA,"phi",0.316673506962701,0.100920191796945,"MAR","Multiple Imputation",1002,"N_200_sim_2",0.793780166096985,"propMissAct_0.5_autoCorr_0.12"
"42",NA,"intercept",-0.302768411040846,0.200491145129779,"MAR","Multiple Imputation",1002,"N_200_sim_2",-0.325369754349729,"propMissAct_0.5_autoCorr_0.12"
"43",NA,"xreg1",-0.576869178385855,0.156918451877232,"MAR","Multiple Imputation",1002,"N_200_sim_2",-0.818698064145673,"propMissAct_0.5_autoCorr_0.12"
"44",NA,"xreg2",0.436818744243095,0.132372674639773,"MAR","Multiple Imputation",1002,"N_200_sim_2",0.238157971073709,"propMissAct_0.5_autoCorr_0.12"
"45",NA,"sigma",2.05469640809034,NA,"MAR","Multiple Imputation",1002,"N_200_sim_2",NA,"propMissAct_0.5_autoCorr_0.12"
"46",NA,"intercept",-0.406676163184762,0.424216290194533,"MAR","data augmentation",1002,"N_200_sim_2",-0.325369754349729,"propMissAct_0.5_autoCorr_0.12"
"47",NA,"xreg1",-0.665520481511058,0.101924105670856,"MAR","data augmentation",1002,"N_200_sim_2",-0.818698064145673,"propMissAct_0.5_autoCorr_0.12"
"48",NA,"xreg2",0.195746346698933,0.125111752870843,"MAR","data augmentation",1002,"N_200_sim_2",0.238157971073709,"propMissAct_0.5_autoCorr_0.12"
"49",NA,"phi",0.735432829694895,0.0746384541398015,"MAR","data augmentation",1002,"N_200_sim_2",0.793780166096985,"propMissAct_0.5_autoCorr_0.12"
"50",NA,"sigma",1.10787483623023,0.0859792901131639,"MAR","data augmentation",1002,"N_200_sim_2",NA,"propMissAct_0.5_autoCorr_0.12"
"51","1","phi",0.793515507193802,0.0502151907297351,"MAR","Kalman Filter",1003,"N_200_sim_3",0.693771563656628,"propMissAct_0.5_autoCorr_0.1"
"52","1","intercept",-0.331115356808605,0.326991207262454,"MAR","Kalman Filter",1003,"N_200_sim_3",-0.393912618707443,"propMissAct_0.5_autoCorr_0.1"
"53","1","xreg1",0.894438729568726,0.0864542083021188,"MAR","Kalman Filter",1003,"N_200_sim_3",0.944433918990424,"propMissAct_0.5_autoCorr_0.1"
"54","1","xreg2",-1.87622763034959,0.0937845449135461,"MAR","Kalman Filter",1003,"N_200_sim_3",-1.89316582504094,"propMissAct_0.5_autoCorr_0.1"
"55","1","sigma",0.905972411944594,NA,"MAR","Kalman Filter",1003,"N_200_sim_3",NA,"propMissAct_0.5_autoCorr_0.1"
"56","1","phi",0.618687606571636,0.0777282828184438,"MAR","simple drop NA",1003,"N_200_sim_3",0.693771563656628,"propMissAct_0.5_autoCorr_0.1"
"57","1","intercept",-0.317304641230374,0.321968537506212,"MAR","simple drop NA",1003,"N_200_sim_3",-0.393912618707443,"propMissAct_0.5_autoCorr_0.1"
"58","1","xreg1",0.924799889418116,0.103774684957975,"MAR","simple drop NA",1003,"N_200_sim_3",0.944433918990424,"propMissAct_0.5_autoCorr_0.1"
"59","1","xreg2",-1.88399972614854,0.116837412133081,"MAR","simple drop NA",1003,"N_200_sim_3",-1.89316582504094,"propMissAct_0.5_autoCorr_0.1"
"60","1","sigma",1.55201823364208,NA,"MAR","simple drop NA",1003,"N_200_sim_3",NA,"propMissAct_0.5_autoCorr_0.1"
"61","1","phi",0.581698293204448,0.108372821828099,"MAR","comple case drop NA",1003,"N_200_sim_3",0.693771563656628,"propMissAct_0.5_autoCorr_0.1"
"62","1","intercept",-0.398391702611566,0.396625641029291,"MAR","comple case drop NA",1003,"N_200_sim_3",-0.393912618707443,"propMissAct_0.5_autoCorr_0.1"
"63","1","xreg1",0.702800562594324,0.155077740110912,"MAR","comple case drop NA",1003,"N_200_sim_3",0.944433918990424,"propMissAct_0.5_autoCorr_0.1"
"64","1","xreg2",-1.85074951667283,0.161224247285499,"MAR","comple case drop NA",1003,"N_200_sim_3",-1.89316582504094,"propMissAct_0.5_autoCorr_0.1"
"65","1","sigma",1.57337904386947,NA,"MAR","comple case drop NA",1003,"N_200_sim_3",NA,"propMissAct_0.5_autoCorr_0.1"
"66",NA,"phi",0.360462377213534,0.0782455700628697,"MAR","Multiple Imputation",1003,"N_200_sim_3",0.693771563656628,"propMissAct_0.5_autoCorr_0.1"
"67",NA,"intercept",-0.318136231192518,0.195129725801545,"MAR","Multiple Imputation",1003,"N_200_sim_3",-0.393912618707443,"propMissAct_0.5_autoCorr_0.1"
"68",NA,"xreg1",0.905375921923231,0.164938602206291,"MAR","Multiple Imputation",1003,"N_200_sim_3",0.944433918990424,"propMissAct_0.5_autoCorr_0.1"
"69",NA,"xreg2",-1.81308386496629,0.118433655067009,"MAR","Multiple Imputation",1003,"N_200_sim_3",-1.89316582504094,"propMissAct_0.5_autoCorr_0.1"
"70",NA,"sigma",2.146682622916,NA,"MAR","Multiple Imputation",1003,"N_200_sim_3",NA,"propMissAct_0.5_autoCorr_0.1"
"71",NA,"intercept",-0.235187527154356,0.352739796145259,"MAR","data augmentation",1003,"N_200_sim_3",-0.393912618707443,"propMissAct_0.5_autoCorr_0.1"
"72",NA,"xreg1",0.89434791108039,0.0900018786579703,"MAR","data augmentation",1003,"N_200_sim_3",0.944433918990424,"propMissAct_0.5_autoCorr_0.1"
"73",NA,"xreg2",-1.87251220197943,0.0973446697093632,"MAR","data augmentation",1003,"N_200_sim_3",-1.89316582504094,"propMissAct_0.5_autoCorr_0.1"
"74",NA,"phi",0.795528562735841,0.0541137111746095,"MAR","data augmentation",1003,"N_200_sim_3",0.693771563656628,"propMissAct_0.5_autoCorr_0.1"
"75",NA,"sigma",0.983948521216524,0.0749596595673479,"MAR","data augmentation",1003,"N_200_sim_3",NA,"propMissAct_0.5_autoCorr_0.1"
"76","1","phi",0.211103722814593,0.134746866162954,"MAR","Kalman Filter",1004,"N_200_sim_4",0.224633201956749,"propMissAct_0.5_autoCorr_0.06"
"77","1","intercept",-0.314954819267669,0.120330294071663,"MAR","Kalman Filter",1004,"N_200_sim_4",-0.277690391405608,"propMissAct_0.5_autoCorr_0.06"
"78","1","xreg1",0.33308975171831,0.117023398798261,"MAR","Kalman Filter",1004,"N_200_sim_4",0.33273673498674,"propMissAct_0.5_autoCorr_0.06"
"79","1","xreg2",-0.766127414657299,0.118326494623219,"MAR","Kalman Filter",1004,"N_200_sim_4",-0.524720526995577,"propMissAct_0.5_autoCorr_0.06"
"80","1","sigma",1.09114542528081,NA,"MAR","Kalman Filter",1004,"N_200_sim_4",NA,"propMissAct_0.5_autoCorr_0.06"
"81","1","phi",0.141881764586396,0.105532379860154,"MAR","simple drop NA",1004,"N_200_sim_4",0.224633201956749,"propMissAct_0.5_autoCorr_0.06"
"82","1","intercept",-0.292760563310962,0.123287286590027,"MAR","simple drop NA",1004,"N_200_sim_4",-0.277690391405608,"propMissAct_0.5_autoCorr_0.06"
"83","1","xreg1",0.339804950324863,0.118027241346593,"MAR","simple drop NA",1004,"N_200_sim_4",0.33273673498674,"propMissAct_0.5_autoCorr_0.06"
"84","1","xreg2",-0.727871505486215,0.121120913647997,"MAR","simple drop NA",1004,"N_200_sim_4",-0.524720526995577,"propMissAct_0.5_autoCorr_0.06"
"85","1","sigma",1.11767952342317,NA,"MAR","simple drop NA",1004,"N_200_sim_4",NA,"propMissAct_0.5_autoCorr_0.06"
"86","1","phi",0.231817966129611,0.143922193069547,"MAR","comple case drop NA",1004,"N_200_sim_4",0.224633201956749,"propMissAct_0.5_autoCorr_0.06"
"87","1","intercept",-0.32302162417123,0.175106629256389,"MAR","comple case drop NA",1004,"N_200_sim_4",-0.277690391405608,"propMissAct_0.5_autoCorr_0.06"
"88","1","xreg1",0.305376001760979,0.149245777829622,"MAR","comple case drop NA",1004,"N_200_sim_4",0.33273673498674,"propMissAct_0.5_autoCorr_0.06"
"89","1","xreg2",-0.94335715816135,0.149469847232782,"MAR","comple case drop NA",1004,"N_200_sim_4",-0.524720526995577,"propMissAct_0.5_autoCorr_0.06"
"90","1","sigma",0.949579814313876,NA,"MAR","comple case drop NA",1004,"N_200_sim_4",NA,"propMissAct_0.5_autoCorr_0.06"
"91",NA,"phi",0.0975617587778432,0.0850290078670523,"MAR","Multiple Imputation",1004,"N_200_sim_4",0.224633201956749,"propMissAct_0.5_autoCorr_0.06"
"92",NA,"intercept",-0.272549782923273,0.126851137724139,"MAR","Multiple Imputation",1004,"N_200_sim_4",-0.277690391405608,"propMissAct_0.5_autoCorr_0.06"
"93",NA,"xreg1",0.289049721827853,0.117579825563638,"MAR","Multiple Imputation",1004,"N_200_sim_4",0.33273673498674,"propMissAct_0.5_autoCorr_0.06"
"94",NA,"xreg2",-0.76488388450735,0.132732053387225,"MAR","Multiple Imputation",1004,"N_200_sim_4",-0.524720526995577,"propMissAct_0.5_autoCorr_0.06"
"95",NA,"sigma",1.14058880758484,NA,"MAR","Multiple Imputation",1004,"N_200_sim_4",NA,"propMissAct_0.5_autoCorr_0.06"
"96",NA,"intercept",-0.311363649126192,0.124629108612143,"MAR","data augmentation",1004,"N_200_sim_4",-0.277690391405608,"propMissAct_0.5_autoCorr_0.06"
"97",NA,"xreg1",0.330680083691018,0.119749850486622,"MAR","data augmentation",1004,"N_200_sim_4",0.33273673498674,"propMissAct_0.5_autoCorr_0.06"
"98",NA,"xreg2",-0.7627465742549,0.123897891528973,"MAR","data augmentation",1004,"N_200_sim_4",-0.524720526995577,"propMissAct_0.5_autoCorr_0.06"
"99",NA,"phi",0.198370972016818,0.134453049119108,"MAR","data augmentation",1004,"N_200_sim_4",0.224633201956749,"propMissAct_0.5_autoCorr_0.06"
"100",NA,"sigma",1.07531636431037,0.0802484535531693,"MAR","data augmentation",1004,"N_200_sim_4",NA,"propMissAct_0.5_autoCorr_0.06"
"101","1","phi",0.601230908791638,0.0815981049233089,"MAR","Kalman Filter",1005,"N_200_sim_5",0.441067997738719,"propMissAct_0.5_autoCorr_0.04"
"102","1","intercept",-1.4977076405312,0.175602648560175,"MAR","Kalman Filter",1005,"N_200_sim_5",-1.51246712190881,"propMissAct_0.5_autoCorr_0.04"
"103","1","xreg1",2.53865021790854,0.0784176522807148,"MAR","Kalman Filter",1005,"N_200_sim_5",2.53347580012818,"propMissAct_0.5_autoCorr_0.04"
"104","1","xreg2",0.174604916805823,0.0815516462406708,"MAR","Kalman Filter",1005,"N_200_sim_5",0.29552863909233,"propMissAct_0.5_autoCorr_0.04"
"105","1","sigma",0.821695156879482,NA,"MAR","Kalman Filter",1005,"N_200_sim_5",NA,"propMissAct_0.5_autoCorr_0.04"
"106","1","phi",0.478186132227464,0.0887827037719382,"MAR","simple drop NA",1005,"N_200_sim_5",0.441067997738719,"propMissAct_0.5_autoCorr_0.04"
"107","1","intercept",-1.52222252630125,0.185412284281394,"MAR","simple drop NA",1005,"N_200_sim_5",-1.51246712190881,"propMissAct_0.5_autoCorr_0.04"
"108","1","xreg1",2.53350080045855,0.077336184615396,"MAR","simple drop NA",1005,"N_200_sim_5",2.53347580012818,"propMissAct_0.5_autoCorr_0.04"
"109","1","xreg2",0.185951984356456,0.0807519198221884,"MAR","simple drop NA",1005,"N_200_sim_5",0.29552863909233,"propMissAct_0.5_autoCorr_0.04"
"110","1","sigma",0.949308065658067,NA,"MAR","simple drop NA",1005,"N_200_sim_5",NA,"propMissAct_0.5_autoCorr_0.04"
"111","1","phi",0.178833171832695,0.154996817624581,"MAR","comple case drop NA",1005,"N_200_sim_5",0.441067997738719,"propMissAct_0.5_autoCorr_0.04"
"112","1","intercept",-1.58054673539445,0.17839220417503,"MAR","comple case drop NA",1005,"N_200_sim_5",-1.51246712190881,"propMissAct_0.5_autoCorr_0.04"
"113","1","xreg1",2.69780205193314,0.148965716292826,"MAR","comple case drop NA",1005,"N_200_sim_5",2.53347580012818,"propMissAct_0.5_autoCorr_0.04"
"114","1","xreg2",0.0739480580155666,0.1564158254898,"MAR","comple case drop NA",1005,"N_200_sim_5",0.29552863909233,"propMissAct_0.5_autoCorr_0.04"
"115","1","sigma",1.10657744983453,NA,"MAR","comple case drop NA",1005,"N_200_sim_5",NA,"propMissAct_0.5_autoCorr_0.04"
"116",NA,"phi",0.161915163665085,0.116085299401718,"MAR","Multiple Imputation",1005,"N_200_sim_5",0.441067997738719,"propMissAct_0.5_autoCorr_0.04"
"117",NA,"intercept",-1.43375843835033,0.103658023901751,"MAR","Multiple Imputation",1005,"N_200_sim_5",-1.51246712190881,"propMissAct_0.5_autoCorr_0.04"
"118",NA,"xreg1",2.59861041137152,0.0960722003199828,"MAR","Multiple Imputation",1005,"N_200_sim_5",2.53347580012818,"propMissAct_0.5_autoCorr_0.04"
"119",NA,"xreg2",0.114105401939916,0.108290586790713,"MAR","Multiple Imputation",1005,"N_200_sim_5",0.29552863909233,"propMissAct_0.5_autoCorr_0.04"
"120",NA,"sigma",1.06721246042614,NA,"MAR","Multiple Imputation",1005,"N_200_sim_5",NA,"propMissAct_0.5_autoCorr_0.04"
"121",NA,"intercept",-1.50777719021198,0.181141489382257,"MAR","data augmentation",1005,"N_200_sim_5",-1.51246712190881,"propMissAct_0.5_autoCorr_0.04"
"122",NA,"xreg1",2.54461201357557,0.0821553165067712,"MAR","data augmentation",1005,"N_200_sim_5",2.53347580012818,"propMissAct_0.5_autoCorr_0.04"
"123",NA,"xreg2",0.175778797967045,0.0849884598864715,"MAR","data augmentation",1005,"N_200_sim_5",0.29552863909233,"propMissAct_0.5_autoCorr_0.04"
"124",NA,"phi",0.58178383844031,0.0903372380863458,"MAR","data augmentation",1005,"N_200_sim_5",0.441067997738719,"propMissAct_0.5_autoCorr_0.04"
"125",NA,"sigma",0.943196926106708,0.0736157923236584,"MAR","data augmentation",1005,"N_200_sim_5",NA,"propMissAct_0.5_autoCorr_0.04"
"126","1","phi",0.683792632117304,0.0677379523756629,"MAR","Kalman Filter",1006,"N_200_sim_6",0.577950281277299,"propMissAct_0.5_autoCorr_0.16"
"127","1","intercept",0.972214917771881,0.215848965994769,"MAR","Kalman Filter",1006,"N_200_sim_6",0.669611740112999,"propMissAct_0.5_autoCorr_0.16"
"128","1","xreg1",2.49371674093019,0.0816008613209969,"MAR","Kalman Filter",1006,"N_200_sim_6",2.45613379954329,"propMissAct_0.5_autoCorr_0.16"
"129","1","xreg2",-2.79925452102888,0.103716883484766,"MAR","Kalman Filter",1006,"N_200_sim_6",-2.83033677890822,"propMissAct_0.5_autoCorr_0.16"
"130","1","sigma",0.843734989173804,NA,"MAR","Kalman Filter",1006,"N_200_sim_6",NA,"propMissAct_0.5_autoCorr_0.16"
"131","1","phi",0.528321017754322,0.0864050808118751,"MAR","simple drop NA",1006,"N_200_sim_6",0.577950281277299,"propMissAct_0.5_autoCorr_0.16"
"132","1","intercept",0.957575168113661,0.223161871366935,"MAR","simple drop NA",1006,"N_200_sim_6",0.669611740112999,"propMissAct_0.5_autoCorr_0.16"
"133","1","xreg1",2.53218484431406,0.0891989409355997,"MAR","simple drop NA",1006,"N_200_sim_6",2.45613379954329,"propMissAct_0.5_autoCorr_0.16"
"134","1","xreg2",-2.78274229685557,0.114374412632781,"MAR","simple drop NA",1006,"N_200_sim_6",-2.83033677890822,"propMissAct_0.5_autoCorr_0.16"
"135","1","sigma",1.12714248174692,NA,"MAR","simple drop NA",1006,"N_200_sim_6",NA,"propMissAct_0.5_autoCorr_0.16"
"136","1","phi",0.382727327563387,0.126716962802554,"MAR","comple case drop NA",1006,"N_200_sim_6",0.577950281277299,"propMissAct_0.5_autoCorr_0.16"
"137","1","intercept",0.889928505202554,0.244957989632793,"MAR","comple case drop NA",1006,"N_200_sim_6",0.669611740112999,"propMissAct_0.5_autoCorr_0.16"
"138","1","xreg1",2.4181198123869,0.146099965988016,"MAR","comple case drop NA",1006,"N_200_sim_6",2.45613379954329,"propMissAct_0.5_autoCorr_0.16"
"139","1","xreg2",-2.9732385508213,0.16863640073865,"MAR","comple case drop NA",1006,"N_200_sim_6",-2.83033677890822,"propMissAct_0.5_autoCorr_0.16"
"140","1","sigma",1.30761748837038,NA,"MAR","comple case drop NA",1006,"N_200_sim_6",NA,"propMissAct_0.5_autoCorr_0.16"
"141",NA,"phi",0.232618175633858,0.104311641856249,"MAR","Multiple Imputation",1006,"N_200_sim_6",0.577950281277299,"propMissAct_0.5_autoCorr_0.16"
"142",NA,"intercept",1.01952694092563,0.171865959284624,"MAR","Multiple Imputation",1006,"N_200_sim_6",0.669611740112999,"propMissAct_0.5_autoCorr_0.16"
"143",NA,"xreg1",2.58481635843154,0.119850426564317,"MAR","Multiple Imputation",1006,"N_200_sim_6",2.45613379954329,"propMissAct_0.5_autoCorr_0.16"
"144",NA,"xreg2",-3.00167161746133,0.187493171054247,"MAR","Multiple Imputation",1006,"N_200_sim_6",-2.83033677890822,"propMissAct_0.5_autoCorr_0.16"
"145",NA,"sigma",1.5401125602774,NA,"MAR","Multiple Imputation",1006,"N_200_sim_6",NA,"propMissAct_0.5_autoCorr_0.16"
"146",NA,"intercept",0.912779465745569,0.232205449661735,"MAR","data augmentation",1006,"N_200_sim_6",0.669611740112999,"propMissAct_0.5_autoCorr_0.16"
"147",NA,"xreg1",2.48067184485295,0.0854915742963373,"MAR","data augmentation",1006,"N_200_sim_6",2.45613379954329,"propMissAct_0.5_autoCorr_0.16"
"148",NA,"xreg2",-2.79207291103482,0.110960581881114,"MAR","data augmentation",1006,"N_200_sim_6",-2.83033677890822,"propMissAct_0.5_autoCorr_0.16"
"149",NA,"phi",0.667926257898148,0.0742290885458797,"MAR","data augmentation",1006,"N_200_sim_6",0.577950281277299,"propMissAct_0.5_autoCorr_0.16"
"150",NA,"sigma",0.96119673955305,0.075508156731292,"MAR","data augmentation",1006,"N_200_sim_6",NA,"propMissAct_0.5_autoCorr_0.16"
"151","1","phi",0.600655781060055,0.0742547820507175,"MAR","Kalman Filter",1007,"N_200_sim_7",0.677139746025205,"propMissAct_0.5_autoCorr_0.06"
