"","missingprop_autocor","parameters","param_value","param_se","missingness","type","curSim","sim_no","simParams","missingnessName"
"1","1","phi",0.795622864950598,0.0494027824300286,"MAR","Kalman Filter",989,"N_190_sim_89",0.776142414845526,"propMissAct_0.47_autoCorr_0.02"
"2","1","intercept",-0.666477636964518,0.322665950740773,"MAR","Kalman Filter",989,"N_190_sim_89",0.028009642786656,"propMissAct_0.47_autoCorr_0.02"
"3","1","xreg1",0.987091907533397,0.0868413739750711,"MAR","Kalman Filter",989,"N_190_sim_89",0.95993437472965,"propMissAct_0.47_autoCorr_0.02"
"4","1","xreg2",0.141856270061231,0.0717639792685269,"MAR","Kalman Filter",989,"N_190_sim_89",0.0300331028499863,"propMissAct_0.47_autoCorr_0.02"
"5","1","sigma",0.82679862691645,NA,"MAR","Kalman Filter",989,"N_190_sim_89",NA,"propMissAct_0.47_autoCorr_0.02"
"6","1","phi",0.693671349642465,0.0711170770903462,"MAR","simple drop NA",989,"N_190_sim_89",0.776142414845526,"propMissAct_0.47_autoCorr_0.02"
"7","1","intercept",-0.673264054706862,0.355186943720694,"MAR","simple drop NA",989,"N_190_sim_89",0.028009642786656,"propMissAct_0.47_autoCorr_0.02"
"8","1","xreg1",0.915885358396407,0.104538230555785,"MAR","simple drop NA",989,"N_190_sim_89",0.95993437472965,"propMissAct_0.47_autoCorr_0.02"
"9","1","xreg2",0.109368929493384,0.076834389764699,"MAR","simple drop NA",989,"N_190_sim_89",0.0300331028499863,"propMissAct_0.47_autoCorr_0.02"
"10","1","sigma",1.23264489461019,NA,"MAR","simple drop NA",989,"N_190_sim_89",NA,"propMissAct_0.47_autoCorr_0.02"
"11","1","phi",0.59449543875972,0.106629866982643,"MAR","comple case drop NA",989,"N_190_sim_89",0.776142414845526,"propMissAct_0.47_autoCorr_0.02"
"12","1","intercept",-0.815403834067882,0.423097082860878,"MAR","comple case drop NA",989,"N_190_sim_89",0.028009642786656,"propMissAct_0.47_autoCorr_0.02"
"13","1","xreg1",1.24420014084462,0.146463201554254,"MAR","comple case drop NA",989,"N_190_sim_89",0.95993437472965,"propMissAct_0.47_autoCorr_0.02"
"14","1","xreg2",0.0338423362809614,0.154134693115063,"MAR","comple case drop NA",989,"N_190_sim_89",0.0300331028499863,"propMissAct_0.47_autoCorr_0.02"
"15","1","sigma",1.67243087193173,NA,"MAR","comple case drop NA",989,"N_190_sim_89",NA,"propMissAct_0.47_autoCorr_0.02"
"16",NA,"phi",0.417684801778995,0.0690324159155956,"MAR","Multiple Imputation",989,"N_190_sim_89",0.776142414845526,"propMissAct_0.47_autoCorr_0.02"
"17",NA,"intercept",-0.645469023724024,0.207845909828483,"MAR","Multiple Imputation",989,"N_190_sim_89",0.028009642786656,"propMissAct_0.47_autoCorr_0.02"
"18",NA,"xreg1",1.06205057457472,0.163839557994622,"MAR","Multiple Imputation",989,"N_190_sim_89",0.95993437472965,"propMissAct_0.47_autoCorr_0.02"
"19",NA,"xreg2",0.25276872350395,0.0929424191724426,"MAR","Multiple Imputation",989,"N_190_sim_89",0.0300331028499863,"propMissAct_0.47_autoCorr_0.02"
"20",NA,"sigma",1.83397898937854,NA,"MAR","Multiple Imputation",989,"N_190_sim_89",NA,"propMissAct_0.47_autoCorr_0.02"
"21",NA,"intercept",-0.688804814772965,0.339542259654487,"MAR","data augmentation",989,"N_190_sim_89",0.028009642786656,"propMissAct_0.47_autoCorr_0.02"
"22",NA,"xreg1",0.986044569342923,0.0896295758236911,"MAR","data augmentation",989,"N_190_sim_89",0.95993437472965,"propMissAct_0.47_autoCorr_0.02"
"23",NA,"xreg2",0.141122099130493,0.0743149876969186,"MAR","data augmentation",989,"N_190_sim_89",0.0300331028499863,"propMissAct_0.47_autoCorr_0.02"
"24",NA,"phi",0.799171379463418,0.0526305545995178,"MAR","data augmentation",989,"N_190_sim_89",0.776142414845526,"propMissAct_0.47_autoCorr_0.02"
"25",NA,"sigma",0.938053776978118,0.0704592784138445,"MAR","data augmentation",989,"N_190_sim_89",NA,"propMissAct_0.47_autoCorr_0.02"
"26","1","phi",-0.0163113727478465,0.118303165240957,"MAR","Kalman Filter",990,"N_190_sim_90",0.0562320698052645,"propMissAct_0.47_autoCorr_0.05"
"27","1","intercept",-0.069324051111695,0.099249723748104,"MAR","Kalman Filter",990,"N_190_sim_90",-0.239263882012869,"propMissAct_0.47_autoCorr_0.05"
"28","1","xreg1",-1.27436011777536,0.0998367577171696,"MAR","Kalman Filter",990,"N_190_sim_90",-1.32805402158557,"propMissAct_0.47_autoCorr_0.05"
"29","1","xreg2",1.0119252893397,0.103806573485837,"MAR","Kalman Filter",990,"N_190_sim_90",0.992946951791285,"propMissAct_0.47_autoCorr_0.05"
"30","1","sigma",1.00057449301851,NA,"MAR","Kalman Filter",990,"N_190_sim_90",NA,"propMissAct_0.47_autoCorr_0.05"
"31","1","phi",-0.13135821609551,0.100329864594389,"MAR","simple drop NA",990,"N_190_sim_90",0.0562320698052645,"propMissAct_0.47_autoCorr_0.05"
"32","1","intercept",-0.0682359070344519,0.0877834497015992,"MAR","simple drop NA",990,"N_190_sim_90",-0.239263882012869,"propMissAct_0.47_autoCorr_0.05"
"33","1","xreg1",-1.28034625144267,0.0991987790818785,"MAR","simple drop NA",990,"N_190_sim_90",-1.32805402158557,"propMissAct_0.47_autoCorr_0.05"
"34","1","xreg2",1.02522273281635,0.102964071435826,"MAR","simple drop NA",990,"N_190_sim_90",0.992946951791285,"propMissAct_0.47_autoCorr_0.05"
"35","1","sigma",0.983842521547738,NA,"MAR","simple drop NA",990,"N_190_sim_90",NA,"propMissAct_0.47_autoCorr_0.05"
"36","1","phi",-0.00734657250655626,0.143778435914817,"MAR","comple case drop NA",990,"N_190_sim_90",0.0562320698052645,"propMissAct_0.47_autoCorr_0.05"
"37","1","intercept",-0.0414556177252628,0.131416732563709,"MAR","comple case drop NA",990,"N_190_sim_90",-0.239263882012869,"propMissAct_0.47_autoCorr_0.05"
"38","1","xreg1",-1.29571702328915,0.131193602262568,"MAR","comple case drop NA",990,"N_190_sim_90",-1.32805402158557,"propMissAct_0.47_autoCorr_0.05"
"39","1","xreg2",1.01618511118973,0.129715491469394,"MAR","comple case drop NA",990,"N_190_sim_90",0.992946951791285,"propMissAct_0.47_autoCorr_0.05"
"40","1","sigma",0.926072483013147,NA,"MAR","comple case drop NA",990,"N_190_sim_90",NA,"propMissAct_0.47_autoCorr_0.05"
"41",NA,"phi",0.0198964395037543,0.0954214902519169,"MAR","Multiple Imputation",990,"N_190_sim_90",0.0562320698052645,"propMissAct_0.47_autoCorr_0.05"
"42",NA,"intercept",-0.0654395579138803,0.137041771051792,"MAR","Multiple Imputation",990,"N_190_sim_90",-0.239263882012869,"propMissAct_0.47_autoCorr_0.05"
"43",NA,"xreg1",-1.28714079811445,0.103513963276717,"MAR","Multiple Imputation",990,"N_190_sim_90",-1.32805402158557,"propMissAct_0.47_autoCorr_0.05"
"44",NA,"xreg2",1.04672884001321,0.0998511692795053,"MAR","Multiple Imputation",990,"N_190_sim_90",0.992946951791285,"propMissAct_0.47_autoCorr_0.05"
"45",NA,"sigma",0.947339431315488,NA,"MAR","Multiple Imputation",990,"N_190_sim_90",NA,"propMissAct_0.47_autoCorr_0.05"
"46",NA,"intercept",-0.069888360399829,0.103677367034572,"MAR","data augmentation",990,"N_190_sim_90",-0.239263882012869,"propMissAct_0.47_autoCorr_0.05"
"47",NA,"xreg1",-1.27278401906577,0.101338778889871,"MAR","data augmentation",990,"N_190_sim_90",-1.32805402158557,"propMissAct_0.47_autoCorr_0.05"
"48",NA,"xreg2",1.00945757425064,0.106589134997205,"MAR","data augmentation",990,"N_190_sim_90",0.992946951791285,"propMissAct_0.47_autoCorr_0.05"
"49",NA,"phi",-0.00845892813001989,0.118727297678653,"MAR","data augmentation",990,"N_190_sim_90",0.0562320698052645,"propMissAct_0.47_autoCorr_0.05"
"50",NA,"sigma",1.0267476759891,0.0750521182906028,"MAR","data augmentation",990,"N_190_sim_90",NA,"propMissAct_0.47_autoCorr_0.05"
"51","1","phi",-0.101620146395858,0.128419394024688,"MAR","Kalman Filter",991,"N_190_sim_91",0.019941726885736,"propMissAct_0.47_autoCorr_0.03"
"52","1","intercept",-0.379725466701457,0.0915646605017433,"MAR","Kalman Filter",991,"N_190_sim_91",-0.541980492994855,"propMissAct_0.47_autoCorr_0.03"
"53","1","xreg1",0.777584417202108,0.104526967149998,"MAR","Kalman Filter",991,"N_190_sim_91",0.792324791224764,"propMissAct_0.47_autoCorr_0.03"
"54","1","xreg2",-1.4654233315058,0.0957242392348582,"MAR","Kalman Filter",991,"N_190_sim_91",-1.33851921165755,"propMissAct_0.47_autoCorr_0.03"
