"CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
9,"propMissAct_0.45_autoCorr_0.78","ar1",0.64462521038298,0.10091805674383,"MAR","dropNA_simple",9
9,"propMissAct_0.45_autoCorr_0.78","intercept",1.18928376573604,0.288799326758694,"MAR","dropNA_simple",9
9,"propMissAct_0.45_autoCorr_0.78","xreg1",0.0105529611944467,0.0015256293841838,"MAR","dropNA_simple",9
9,"propMissAct_0.45_autoCorr_0.78","xreg2",-0.110723880193875,0.0270600661531191,"MAR","dropNA_simple",9
9,"propMissAct_0.45_autoCorr_0.78","sigma",0.428584448977599,NA,"MAR","dropNA_simple",9
9,"propMissAct_0.71_autoCorr_0.75","ar1",0.631377255369089,0.203054674582531,"MAR","dropNA_simple",9
9,"propMissAct_0.71_autoCorr_0.75","intercept",1.75406275734442,0.573927746505738,"MAR","dropNA_simple",9
9,"propMissAct_0.71_autoCorr_0.75","xreg1",0.00918389717537387,0.0033877359067071,"MAR","dropNA_simple",9
9,"propMissAct_0.71_autoCorr_0.75","xreg2",-0.157919554908009,0.051507531720293,"MAR","dropNA_simple",9
9,"propMissAct_0.71_autoCorr_0.75","sigma",0.475131820297006,NA,"MAR","dropNA_simple",9
9,"propMissAct_0.53_autoCorr_0.76","ar1",0.646549450854933,0.0699786318205226,"MAR","dropNA_simple",9
9,"propMissAct_0.53_autoCorr_0.76","intercept",1.50237435039125,0.241905804206365,"MAR","dropNA_simple",9
9,"propMissAct_0.53_autoCorr_0.76","xreg1",0.00926417394934709,0.000866346474847762,"MAR","dropNA_simple",9
9,"propMissAct_0.53_autoCorr_0.76","xreg2",-0.139786563442743,0.0208672855474533,"MAR","dropNA_simple",9
9,"propMissAct_0.53_autoCorr_0.76","sigma",0.282993877204534,NA,"MAR","dropNA_simple",9
9,"propMissAct_0.61_autoCorr_0.78","ar1",0.694247162880591,0.089607817001472,"MAR","dropNA_simple",9
9,"propMissAct_0.61_autoCorr_0.78","intercept",1.79976936420862,0.389506130719965,"MAR","dropNA_simple",9
9,"propMissAct_0.61_autoCorr_0.78","xreg1",0.00625864612393949,0.00164352574063965,"MAR","dropNA_simple",9
9,"propMissAct_0.61_autoCorr_0.78","xreg2",-0.124676584287326,0.0280558046787295,"MAR","dropNA_simple",9
9,"propMissAct_0.61_autoCorr_0.78","sigma",0.457940136827802,NA,"MAR","dropNA_simple",9
9,"propMissAct_0.75_autoCorr_0.86","ar1",0.660023535971516,0.115586564436887,"MAR","dropNA_simple",9
9,"propMissAct_0.75_autoCorr_0.86","intercept",1.8712650635798,0.394578968092809,"MAR","dropNA_simple",9
9,"propMissAct_0.75_autoCorr_0.86","xreg1",0.00665689916626613,0.00141927752537369,"MAR","dropNA_simple",9
9,"propMissAct_0.75_autoCorr_0.86","xreg2",-0.13107642640833,0.0290023471848037,"MAR","dropNA_simple",9
9,"propMissAct_0.75_autoCorr_0.86","sigma",0.388345805541966,NA,"MAR","dropNA_simple",9
9,"y","ar1",0.773318161385523,0.0427329164879385,"MAR","dropNA_complete",9
9,"y","intercept",1.99989149534183,0.272741863815694,"MAR","dropNA_complete",9
9,"y","xreg1",0.00629245327115271,0.000709707730972728,"MAR","dropNA_complete",9
9,"y","xreg2",-0.132579843050951,0.0249188462419074,"MAR","dropNA_complete",9
9,"y","sigma",0.36060033251289,NA,"MAR","dropNA_complete",9
9,"propMissAct_0.08_autoCorr_0.74","ar1",0.807777738926248,0.0401863812599842,"MAR","dropNA_complete",9
9,"propMissAct_0.08_autoCorr_0.74","intercept",1.94033234076385,0.306632160213358,"MAR","dropNA_complete",9
9,"propMissAct_0.08_autoCorr_0.74","xreg1",0.00535761938270455,0.000713432468598667,"MAR","dropNA_complete",9
9,"propMissAct_0.08_autoCorr_0.74","xreg2",-0.110307466443465,0.0258886717495652,"MAR","dropNA_complete",9
9,"propMissAct_0.08_autoCorr_0.74","sigma",0.36054463222844,NA,"MAR","dropNA_complete",9
9,"propMissAct_0.1_autoCorr_0.69","ar1",0.78386710358182,0.0431164284786369,"MAR","dropNA_complete",9
9,"propMissAct_0.1_autoCorr_0.69","intercept",1.99098406605755,0.288439546675255,"MAR","dropNA_complete",9
9,"propMissAct_0.1_autoCorr_0.69","xreg1",0.00595066378218608,0.000701112304334268,"MAR","dropNA_complete",9
9,"propMissAct_0.1_autoCorr_0.69","xreg2",-0.127967365014054,0.0252597174669424,"MAR","dropNA_complete",9
9,"propMissAct_0.1_autoCorr_0.69","sigma",0.353898110238468,NA,"MAR","dropNA_complete",9
9,"propMissAct_0.14_autoCorr_0.81","ar1",0.726275007727399,0.0575272671698284,"MAR","dropNA_complete",9
