"CurSim","missingprop_autocor","missingness","type","param","value","missingnessVersion","SE"
10,"propMissAct_0.46_autoCorr_0.9","MAR","Data Deletion","discharge",-10.3645317775911,"I",1.88620114899069
10,"propMissAct_0.38_autoCorr_0.9","MAR","Data Deletion","discharge",-1.82255205245126,"J",0.820973817005147
10,"propMissAct_0.54_autoCorr_0.84","MAR","Data Deletion","discharge",-2.41827536382333,"K",0.625706229919791
10,"propMissAct_0.53_autoCorr_0.89","MAR","Data Deletion","discharge",-2.52919741310632,"L",0.839205125548432
10,"propMissAct_0.67_autoCorr_0.87","MAR","Data Deletion","discharge",-3.89867991202861,"M",1.19719025968591
10,"propMissAct_0.45_autoCorr_0.93","MAR","Data Deletion","discharge",-1.6025784461967,"N",0.668022006229572
10,"propMissAct_0.56_autoCorr_0.9","MAR","Data Deletion","discharge",-12.5395611625292,"O",2.15755080861361
10,"propMissAct_0.67_autoCorr_0.92","MAR","Data Deletion","discharge",-9.12966111982907,"P",2.15449231448246
10,"y","MAR","Data Deletion","sigma",1.41706375371516,"A",NA
10,"propMissAct_0.04_autoCorr_0.9","MAR","Data Deletion","sigma",1.43290565240853,"B",NA
10,"propMissAct_0.05_autoCorr_0.92","MAR","Data Deletion","sigma",1.35832500713008,"C",NA
10,"propMissAct_0.08_autoCorr_0.83","MAR","Data Deletion","sigma",1.19429620145002,"D",NA
10,"propMissAct_0.24_autoCorr_0.86","MAR","Data Deletion","sigma",1.30327096488106,"E",NA
10,"propMissAct_0.2_autoCorr_0.88","MAR","Data Deletion","sigma",1.2558977340098,"F",NA
10,"propMissAct_0.19_autoCorr_0.88","MAR","Data Deletion","sigma",1.58456493091715,"G",NA
10,"propMissAct_0.22_autoCorr_0.92","MAR","Data Deletion","sigma",1.04698531942257,"H",NA
10,"propMissAct_0.46_autoCorr_0.9","MAR","Data Deletion","sigma",1.3055391206626,"I",NA
10,"propMissAct_0.38_autoCorr_0.9","MAR","Data Deletion","sigma",1.62482184213785,"J",NA
10,"propMissAct_0.54_autoCorr_0.84","MAR","Data Deletion","sigma",1.55911439955167,"K",NA
10,"propMissAct_0.53_autoCorr_0.89","MAR","Data Deletion","sigma",1.76914453510138,"L",NA
10,"propMissAct_0.67_autoCorr_0.87","MAR","Data Deletion","sigma",1.68906410009926,"M",NA
10,"propMissAct_0.45_autoCorr_0.93","MAR","Data Deletion","sigma",1.5928060259124,"N",NA
10,"propMissAct_0.56_autoCorr_0.9","MAR","Data Deletion","sigma",0.975533891944596,"O",NA
10,"propMissAct_0.67_autoCorr_0.92","MAR","Data Deletion","sigma",1.43487848054464,"P",NA
10,"y","MAR","Kalman filter","ar1",0.718629331628186,"A",0.0383432032340804
10,"propMissAct_0.04_autoCorr_0.9","MAR","Kalman filter","ar1",0.708799115527539,"B",0.0398667164511227
10,"propMissAct_0.05_autoCorr_0.92","MAR","Kalman filter","ar1",0.740645992294271,"C",0.0377535795103645
10,"propMissAct_0.08_autoCorr_0.83","MAR","Kalman filter","ar1",0.760576183364052,"D",0.0383196308363287
10,"propMissAct_0.24_autoCorr_0.86","MAR","Kalman filter","ar1",0.683811886052944,"E",0.0502629223871902
10,"propMissAct_0.2_autoCorr_0.88","MAR","Kalman filter","ar1",0.74769433258824,"F",0.038242037527064
10,"propMissAct_0.19_autoCorr_0.88","MAR","Kalman filter","ar1",0.723929545359767,"G",0.040368232287148
10,"propMissAct_0.22_autoCorr_0.92","MAR","Kalman filter","ar1",0.704882582986317,"H",0.0438444660920071
10,"propMissAct_0.46_autoCorr_0.9","MAR","Kalman filter","ar1",0.838978551085486,"I",0.0403447215087201
10,"propMissAct_0.38_autoCorr_0.9","MAR","Kalman filter","ar1",0.74720067209881,"J",0.0429529760137089
10,"propMissAct_0.54_autoCorr_0.84","MAR","Kalman filter","ar1",0.755897187058479,"K",0.052017863709467
10,"propMissAct_0.53_autoCorr_0.89","MAR","Kalman filter","ar1",0.629775770028452,"L",0.0654080364350212
10,"propMissAct_0.67_autoCorr_0.87","MAR","Kalman filter","ar1",0.820158068770112,"M",0.0511622567224188
10,"propMissAct_0.45_autoCorr_0.93","MAR","Kalman filter","ar1",0.767340263018368,"N",0.0488085265073033
10,"propMissAct_0.56_autoCorr_0.9","MAR","Kalman filter","ar1",0.87277134775076,"O",0.0403668693247984
10,"propMissAct_0.67_autoCorr_0.92","MAR","Kalman filter","ar1",0.871482412877329,"P",0.0428155711282766
10,"y","MAR","Kalman filter","intercept",1.98737198052795,"A",0.391626836931665
10,"propMissAct_0.04_autoCorr_0.9","MAR","Kalman filter","intercept",1.9496142045568,"B",0.393912829747479
10,"propMissAct_0.05_autoCorr_0.92","MAR","Kalman filter","intercept",2.11749305282271,"C",0.403449368777805
10,"propMissAct_0.08_autoCorr_0.83","MAR","Kalman filter","intercept",2.32957939399702,"D",0.394230308099537
10,"propMissAct_0.24_autoCorr_0.86","MAR","Kalman filter","intercept",1.3482823904272,"E",0.400144566528113
10,"propMissAct_0.2_autoCorr_0.88","MAR","Kalman filter","intercept",1.31395051873516,"F",0.418180049722173
10,"propMissAct_0.19_autoCorr_0.88","MAR","Kalman filter","intercept",1.97105141140824,"G",0.441255530574845
10,"propMissAct_0.22_autoCorr_0.92","MAR","Kalman filter","intercept",1.5294091015572,"H",0.368996782349063
10,"propMissAct_0.46_autoCorr_0.9","MAR","Kalman filter","intercept",4.31154392010341,"I",0.796684616352611
10,"propMissAct_0.38_autoCorr_0.9","MAR","Kalman filter","intercept",2.0789970819082,"J",0.521400379993299
10,"propMissAct_0.54_autoCorr_0.84","MAR","Kalman filter","intercept",3.02325062140106,"K",0.604835715244008
10,"propMissAct_0.53_autoCorr_0.89","MAR","Kalman filter","intercept",1.97732194516298,"L",0.569121951729247
10,"propMissAct_0.67_autoCorr_0.87","MAR","Kalman filter","intercept",3.27994319185019,"M",0.752913671014528
10,"propMissAct_0.45_autoCorr_0.93","MAR","Kalman filter","intercept",2.41257441742175,"N",0.555563743332426
10,"propMissAct_0.56_autoCorr_0.9","MAR","Kalman filter","intercept",5.7509737997563,"O",0.922855728972679
10,"propMissAct_0.67_autoCorr_0.92","MAR","Kalman filter","intercept",6.16132347039194,"P",1.24469854157087
10,"y","MAR","Kalman filter","light",0.015796409008658,"A",0.00140478652214192
10,"propMissAct_0.04_autoCorr_0.9","MAR","Kalman filter","light",0.0160365990719232,"B",0.00144446835219859
10,"propMissAct_0.05_autoCorr_0.92","MAR","Kalman filter","light",0.0148532591386858,"C",0.001442867525461
10,"propMissAct_0.08_autoCorr_0.83","MAR","Kalman filter","light",0.0149454307222017,"D",0.00133702043831898
10,"propMissAct_0.24_autoCorr_0.86","MAR","Kalman filter","light",0.0170097624610167,"E",0.00152289349688608
10,"propMissAct_0.2_autoCorr_0.88","MAR","Kalman filter","light",0.0166876621927368,"F",0.00147289364582663
10,"propMissAct_0.19_autoCorr_0.88","MAR","Kalman filter","light",0.0155199977705637,"G",0.00161015199441356
10,"propMissAct_0.22_autoCorr_0.92","MAR","Kalman filter","light",0.017219299886524,"H",0.00131569924883186
10,"propMissAct_0.46_autoCorr_0.9","MAR","Kalman filter","light",0.0151753571431568,"I",0.00167978008503001
10,"propMissAct_0.38_autoCorr_0.9","MAR","Kalman filter","light",0.0162565247986173,"J",0.00167870026054534
10,"propMissAct_0.54_autoCorr_0.84","MAR","Kalman filter","light",0.0138448397314488,"K",0.00228128327663733
10,"propMissAct_0.53_autoCorr_0.89","MAR","Kalman filter","light",0.0175431864082514,"L",0.00203153758938703
10,"propMissAct_0.67_autoCorr_0.87","MAR","Kalman filter","light",0.0134093289870691,"M",0.00261939082738965
10,"propMissAct_0.45_autoCorr_0.93","MAR","Kalman filter","light",0.0151001161125429,"N",0.00215913544212192
10,"propMissAct_0.56_autoCorr_0.9","MAR","Kalman filter","light",0.0121861212805169,"O",0.00186868851104678
10,"propMissAct_0.67_autoCorr_0.92","MAR","Kalman filter","light",0.0133954013568757,"P",0.00227825261564324
10,"y","MAR","Kalman filter","discharge",-1.64415428414408,"A",0.518931770888552
10,"propMissAct_0.04_autoCorr_0.9","MAR","Kalman filter","discharge",-1.54674766035027,"B",0.526172037306548
10,"propMissAct_0.05_autoCorr_0.92","MAR","Kalman filter","discharge",-1.58521612545219,"C",0.508627484771012
10,"propMissAct_0.08_autoCorr_0.83","MAR","Kalman filter","discharge",-2.35910024527911,"D",0.526694245249927
10,"propMissAct_0.24_autoCorr_0.86","MAR","Kalman filter","discharge",-0.729053407622484,"E",0.560530083404597
10,"propMissAct_0.2_autoCorr_0.88","MAR","Kalman filter","discharge",-0.406395534583616,"F",0.570157228629678
10,"propMissAct_0.19_autoCorr_0.88","MAR","Kalman filter","discharge",-1.51900823401922,"G",0.552800426893756
10,"propMissAct_0.22_autoCorr_0.92","MAR","Kalman filter","discharge",-1.80071203646194,"H",0.520771219377649
10,"propMissAct_0.46_autoCorr_0.9","MAR","Kalman filter","discharge",-9.07615053642666,"I",1.82678064708941
10,"propMissAct_0.38_autoCorr_0.9","MAR","Kalman filter","discharge",-1.84304500291312,"J",0.798345623497627
10,"propMissAct_0.54_autoCorr_0.84","MAR","Kalman filter","discharge",-3.31073579916485,"K",0.711147411843339
10,"propMissAct_0.53_autoCorr_0.89","MAR","Kalman filter","discharge",-2.27491676314112,"L",0.830934441712387
10,"propMissAct_0.67_autoCorr_0.87","MAR","Kalman filter","discharge",-4.02068940978077,"M",1.13575016562776
10,"propMissAct_0.45_autoCorr_0.93","MAR","Kalman filter","discharge",-1.59449921166158,"N",0.668000369853953
10,"propMissAct_0.56_autoCorr_0.9","MAR","Kalman filter","discharge",-12.6773161764969,"O",2.25747736268638
10,"propMissAct_0.67_autoCorr_0.92","MAR","Kalman filter","discharge",-11.018120318981,"P",2.51329529814441
10,"y","MAR","Kalman filter","sigma",1.41367638328014,"A",NA
10,"propMissAct_0.04_autoCorr_0.9","MAR","Kalman filter","sigma",1.43076943366504,"B",NA
10,"propMissAct_0.05_autoCorr_0.92","MAR","Kalman filter","sigma",1.35376216328911,"C",NA
10,"propMissAct_0.08_autoCorr_0.83","MAR","Kalman filter","sigma",1.20082137367428,"D",NA
10,"propMissAct_0.24_autoCorr_0.86","MAR","Kalman filter","sigma",1.22503238275292,"E",NA
10,"propMissAct_0.2_autoCorr_0.88","MAR","Kalman filter","sigma",1.24107068236109,"F",NA
10,"propMissAct_0.19_autoCorr_0.88","MAR","Kalman filter","sigma",1.57275659735217,"G",NA
10,"propMissAct_0.22_autoCorr_0.92","MAR","Kalman filter","sigma",1.00073231495435,"H",NA
10,"propMissAct_0.46_autoCorr_0.9","MAR","Kalman filter","sigma",1.17239633983104,"I",NA
10,"propMissAct_0.38_autoCorr_0.9","MAR","Kalman filter","sigma",1.49284467238009,"J",NA
10,"propMissAct_0.54_autoCorr_0.84","MAR","Kalman filter","sigma",1.48795813067329,"K",NA
10,"propMissAct_0.53_autoCorr_0.89","MAR","Kalman filter","sigma",1.76064611454466,"L",NA
10,"propMissAct_0.67_autoCorr_0.87","MAR","Kalman filter","sigma",1.50807385366521,"M",NA
10,"propMissAct_0.45_autoCorr_0.93","MAR","Kalman filter","sigma",1.58450352273638,"N",NA
10,"propMissAct_0.56_autoCorr_0.9","MAR","Kalman filter","sigma",0.980560558181534,"O",NA
10,"propMissAct_0.67_autoCorr_0.92","MAR","Kalman filter","sigma",1.34182973644068,"P",NA
10,"y","MAR","Multiple imputations","ar1",0.707045960821162,"A",0.0405002800613369
10,"propMissAct_0.04_autoCorr_0.9","MAR","Multiple imputations","ar1",0.684003775232415,"B",0.0421460325874178
10,"propMissAct_0.05_autoCorr_0.92","MAR","Multiple imputations","ar1",0.692748224133277,"C",0.0466324816838672
10,"propMissAct_0.08_autoCorr_0.83","MAR","Multiple imputations","ar1",0.633788154424123,"D",0.0541169422344551
10,"propMissAct_0.24_autoCorr_0.86","MAR","Multiple imputations","ar1",0.424317014707274,"E",0.0787362632584703
10,"propMissAct_0.2_autoCorr_0.88","MAR","Multiple imputations","ar1",0.570310424439687,"F",0.0545185343765168
10,"propMissAct_0.19_autoCorr_0.88","MAR","Multiple imputations","ar1",0.578332134811472,"G",0.0647537042663962
10,"propMissAct_0.22_autoCorr_0.92","MAR","Multiple imputations","ar1",0.503315480792086,"H",0.0607436690737245
10,"propMissAct_0.46_autoCorr_0.9","MAR","Multiple imputations","ar1",0.321665215248113,"I",0.0666794709735174
10,"propMissAct_0.38_autoCorr_0.9","MAR","Multiple imputations","ar1",0.481236093258703,"J",0.0630102029190639
10,"propMissAct_0.54_autoCorr_0.84","MAR","Multiple imputations","ar1",0.307642378422214,"K",0.0639384607287432
10,"propMissAct_0.53_autoCorr_0.89","MAR","Multiple imputations","ar1",0.277219556903874,"L",0.059621984498429
10,"propMissAct_0.67_autoCorr_0.87","MAR","Multiple imputations","ar1",0.225118738930969,"M",0.0832425995833836
10,"propMissAct_0.45_autoCorr_0.93","MAR","Multiple imputations","ar1",0.359700640990268,"N",0.077206434785763
10,"propMissAct_0.56_autoCorr_0.9","MAR","Multiple imputations","ar1",0.280863900097133,"O",0.0674657119472602
10,"propMissAct_0.67_autoCorr_0.92","MAR","Multiple imputations","ar1",0.166078012980017,"P",0.0621318379008035
10,"y","MAR","Multiple imputations","intercept",2.1313527075465,"A",0.408131180777697
10,"propMissAct_0.04_autoCorr_0.9","MAR","Multiple imputations","intercept",2.03591119459905,"B",0.405919480327462
10,"propMissAct_0.05_autoCorr_0.92","MAR","Multiple imputations","intercept",2.09243350738583,"C",0.41192432536564
10,"propMissAct_0.08_autoCorr_0.83","MAR","Multiple imputations","intercept",1.86655454507135,"D",0.392604422973344
10,"propMissAct_0.24_autoCorr_0.86","MAR","Multiple imputations","intercept",0.759421836122324,"E",0.366070823550506
10,"propMissAct_0.2_autoCorr_0.88","MAR","Multiple imputations","intercept",0.911366240248027,"F",0.459795408419679
10,"propMissAct_0.19_autoCorr_0.88","MAR","Multiple imputations","intercept",1.5891843668775,"G",0.496442655463666
10,"propMissAct_0.22_autoCorr_0.92","MAR","Multiple imputations","intercept",0.966358068933322,"H",0.453273305734513
10,"propMissAct_0.46_autoCorr_0.9","MAR","Multiple imputations","intercept",-0.0762265199881469,"I",0.533887857396817
10,"propMissAct_0.38_autoCorr_0.9","MAR","Multiple imputations","intercept",0.894426597394023,"J",0.728009969767537
10,"propMissAct_0.54_autoCorr_0.84","MAR","Multiple imputations","intercept",1.47074324358996,"K",0.535980236674561
10,"propMissAct_0.53_autoCorr_0.89","MAR","Multiple imputations","intercept",1.38641989123646,"L",0.551648125584495
10,"propMissAct_0.67_autoCorr_0.87","MAR","Multiple imputations","intercept",-0.413183512006619,"M",1.84857945192102
10,"propMissAct_0.45_autoCorr_0.93","MAR","Multiple imputations","intercept",0.8221899567617,"N",0.489045070773618
10,"propMissAct_0.56_autoCorr_0.9","MAR","Multiple imputations","intercept",-0.0842276005244589,"O",1.18019416694398
10,"propMissAct_0.67_autoCorr_0.92","MAR","Multiple imputations","intercept",-2.47610790347932,"P",1.48223784529524
10,"y","MAR","Multiple imputations","light",0.0149035972386804,"A",0.00157101228618965
10,"propMissAct_0.04_autoCorr_0.9","MAR","Multiple imputations","light",0.0156269316198873,"B",0.00163574003264152
10,"propMissAct_0.05_autoCorr_0.92","MAR","Multiple imputations","light",0.0149067202808941,"C",0.00160557735107772
10,"propMissAct_0.08_autoCorr_0.83","MAR","Multiple imputations","light",0.0158373334966279,"D",0.00163222048888748
10,"propMissAct_0.24_autoCorr_0.86","MAR","Multiple imputations","light",0.0198405794198895,"E",0.00161559175077302
10,"propMissAct_0.2_autoCorr_0.88","MAR","Multiple imputations","light",0.0177798318179319,"F",0.00153259005579978
10,"propMissAct_0.19_autoCorr_0.88","MAR","Multiple imputations","light",0.0172651501745417,"G",0.0020804981936122
