"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"55",1,"propMissAct_0.69","sigma",0.142739060227655,NA,"MAR","dropNA_simple",1
"56",1,"propMissAct_0.71","ar1",0.331264969831075,0.10371624739617,"MAR","dropNA_simple",1
"57",1,"propMissAct_0.71","intercept",1.92341178396589,0.230353188602525,"MAR","dropNA_simple",1
"58",1,"propMissAct_0.71","xreg1",0.00475898970232562,0.000720143553767233,"MAR","dropNA_simple",1
"59",1,"propMissAct_0.71","xreg2",-0.120285454057752,0.0325129388115886,"MAR","dropNA_simple",1
"60",1,"propMissAct_0.71","sigma",0.118145858395881,NA,"MAR","dropNA_simple",1
"61",1,"propMissAct_0.73","ar1",0.24693043936261,0.109691942964026,"MAR","dropNA_simple",1
"62",1,"propMissAct_0.73","intercept",1.79814970535836,0.209261787265863,"MAR","dropNA_simple",1
"63",1,"propMissAct_0.73","xreg1",0.00459987560347109,0.000659233239145116,"MAR","dropNA_simple",1
"64",1,"propMissAct_0.73","xreg2",-0.101860162342721,0.0300097124362534,"MAR","dropNA_simple",1
"65",1,"propMissAct_0.73","sigma",0.102533867055047,NA,"MAR","dropNA_simple",1
"66",1,"propMissAct_0.75","ar1",0.117069342843645,0.114358655675334,"MAR","dropNA_simple",1
"67",1,"propMissAct_0.75","intercept",1.63484620658052,0.177259137050193,"MAR","dropNA_simple",1
"68",1,"propMissAct_0.75","xreg1",0.00423721795344352,0.000648648376715162,"MAR","dropNA_simple",1
"69",1,"propMissAct_0.75","xreg2",-0.0756462743426158,0.0266843524036854,"MAR","dropNA_simple",1
"70",1,"propMissAct_0.75","sigma",0.0908256087081148,NA,"MAR","dropNA_simple",1
"71",1,"propMissAct_0.78","ar1",0.121689026581481,0.118394718765793,"MAR","dropNA_simple",1
"72",1,"propMissAct_0.78","intercept",1.56994860171402,0.172726107858524,"MAR","dropNA_simple",1
"73",1,"propMissAct_0.78","xreg1",0.00349537898711817,0.000661763166571471,"MAR","dropNA_simple",1
"74",1,"propMissAct_0.78","xreg2",-0.0517493855161144,0.0261098276756411,"MAR","dropNA_simple",1
"75",1,"propMissAct_0.78","sigma",0.0774385847623726,NA,"MAR","dropNA_simple",1
"76",1,"propMissAct_0.83","ar1",0.0669367268212327,0.134450538150207,"MAR","dropNA_simple",1
"77",1,"propMissAct_0.83","intercept",1.61129569287353,0.160770956590001,"MAR","dropNA_simple",1
"78",1,"propMissAct_0.83","xreg1",0.00255449305353243,0.000657299101610269,"MAR","dropNA_simple",1
"79",1,"propMissAct_0.83","xreg2",-0.0377495962114843,0.0243387134785999,"MAR","dropNA_simple",1
"80",1,"propMissAct_0.83","sigma",0.0620058068350659,NA,"MAR","dropNA_simple",1
"81",1,"y","ar1",0.773318161385523,0.0427329164879385,"MAR","dropNA_complete",1
"82",1,"y","intercept",1.99989149534183,0.272741863815694,"MAR","dropNA_complete",1
"83",1,"y","xreg1",0.00629245327115271,0.000709707730972728,"MAR","dropNA_complete",1
"84",1,"y","xreg2",-0.132579843050951,0.0249188462419074,"MAR","dropNA_complete",1
"85",1,"y","sigma",0.36060033251289,NA,"MAR","dropNA_complete",1
"86",1,"propMissAct_0.04","ar1",0.718785103463833,0.049387720991465,"MAR","dropNA_complete",1
"87",1,"propMissAct_0.04","intercept",1.91716322412729,0.247161547812167,"MAR","dropNA_complete",1
"88",1,"propMissAct_0.04","xreg1",0.00669681456002684,0.000732956360678147,"MAR","dropNA_complete",1
"89",1,"propMissAct_0.04","xreg2",-0.1400536973261,0.0230530132279087,"MAR","dropNA_complete",1
"90",1,"propMissAct_0.04","sigma",0.347577914672598,NA,"MAR","dropNA_complete",1
"91",1,"propMissAct_0.09","ar1",0.766154314044828,0.046097078954137,"MAR","dropNA_complete",1
"92",1,"propMissAct_0.09","intercept",1.79885425498795,0.278695623517365,"MAR","dropNA_complete",1
"93",1,"propMissAct_0.09","xreg1",0.00554818507650333,0.000649023782568425,"MAR","dropNA_complete",1
"94",1,"propMissAct_0.09","xreg2",-0.121424438430512,0.0272909159333963,"MAR","dropNA_complete",1
"95",1,"propMissAct_0.09","sigma",0.276122249604327,NA,"MAR","dropNA_complete",1
"96",1,"propMissAct_0.12","ar1",0.797009175593334,0.0422314381459263,"MAR","dropNA_complete",1
"97",1,"propMissAct_0.12","intercept",1.9170142136704,0.290847871035423,"MAR","dropNA_complete",1
"98",1,"propMissAct_0.12","xreg1",0.00441304381343445,0.000638217097787381,"MAR","dropNA_complete",1
"99",1,"propMissAct_0.12","xreg2",-0.121904334321074,0.0271751817373238,"MAR","dropNA_complete",1
"100",1,"propMissAct_0.12","sigma",0.258984267950091,NA,"MAR","dropNA_complete",1
"101",1,"propMissAct_0.17","ar1",0.801750877982232,0.0438356698495504,"MAR","dropNA_complete",1
"102",1,"propMissAct_0.17","intercept",1.5618242734548,0.264215233897518,"MAR","dropNA_complete",1
"103",1,"propMissAct_0.17","xreg1",0.00430019662746202,0.00060989224435218,"MAR","dropNA_complete",1
"104",1,"propMissAct_0.17","xreg2",-0.0913561173632089,0.0234147071516028,"MAR","dropNA_complete",1
"105",1,"propMissAct_0.17","sigma",0.218739216848882,NA,"MAR","dropNA_complete",1
"106",1,"propMissAct_0.23","ar1",0.76975548179668,0.0501111403587154,"MAR","dropNA_complete",1
"107",1,"propMissAct_0.23","intercept",1.82954093475426,0.264788859568823,"MAR","dropNA_complete",1
"108",1,"propMissAct_0.23","xreg1",0.00412811345535457,0.000664666841647556,"MAR","dropNA_complete",1
"109",1,"propMissAct_0.23","xreg2",-0.120341370063849,0.0264673661600722,"MAR","dropNA_complete",1
"110",1,"propMissAct_0.23","sigma",0.21652961951694,NA,"MAR","dropNA_complete",1
"111",1,"propMissAct_0.34","ar1",0.61918593502911,0.0736519251170529,"MAR","dropNA_complete",1
"112",1,"propMissAct_0.34","intercept",2.05510388215224,0.286333605951174,"MAR","dropNA_complete",1
"113",1,"propMissAct_0.34","xreg1",0.00487868724887632,0.000843584938471491,"MAR","dropNA_complete",1
"114",1,"propMissAct_0.34","xreg2",-0.153258376613347,0.032997346728804,"MAR","dropNA_complete",1
"115",1,"propMissAct_0.34","sigma",0.240353198746305,NA,"MAR","dropNA_complete",1
"116",1,"propMissAct_0.5","ar1",0.528684621931758,0.0907856226186268,"MAR","dropNA_complete",1
"117",1,"propMissAct_0.5","intercept",2.0664203877526,0.271024686249984,"MAR","dropNA_complete",1
