"","CurSim","missingprop_autocor","parameters","param_value","param_se","missingness","type","run_no"
"53",1,"propMissAct_0.53","xreg1",0.192147284843978,0.0988506673850113,"MNAR","dropNA_simple",1
"54",1,"propMissAct_0.53","xreg2",-0.163515521737032,0.0353383279354947,"MNAR","dropNA_simple",1
"55",1,"propMissAct_0.53","sigma",0.0588721941386412,NA,"MNAR","dropNA_simple",1
"56",1,"propMissAct_0.58","ar1",0.632021208161377,0.0461575475352178,"MNAR","dropNA_simple",1
"57",1,"propMissAct_0.58","intercept",0.651929985609996,0.0645030144234054,"MNAR","dropNA_simple",1
"58",1,"propMissAct_0.58","xreg1",0.183842582484362,0.0935018377650345,"MNAR","dropNA_simple",1
"59",1,"propMissAct_0.58","xreg2",-0.156268890878014,0.0369203391707664,"MNAR","dropNA_simple",1
"60",1,"propMissAct_0.58","sigma",0.0499830337033096,NA,"MNAR","dropNA_simple",1
"61",1,"propMissAct_0.64","ar1",0.543968274612447,0.0533932989821202,"MNAR","dropNA_simple",1
"62",1,"propMissAct_0.64","intercept",0.688603091386081,0.0580349083872402,"MNAR","dropNA_simple",1
"63",1,"propMissAct_0.64","xreg1",0.207386346403915,0.0883905940828389,"MNAR","dropNA_simple",1
"64",1,"propMissAct_0.64","xreg2",-0.09091599095764,0.0334877244725451,"MNAR","dropNA_simple",1
"65",1,"propMissAct_0.64","sigma",0.0425057745620909,NA,"MNAR","dropNA_simple",1
"66",1,"propMissAct_0.69","ar1",0.446136449863718,0.0608881234594585,"MNAR","dropNA_simple",1
"67",1,"propMissAct_0.69","intercept",0.688237546321853,0.0518997728372515,"MNAR","dropNA_simple",1
"68",1,"propMissAct_0.69","xreg1",0.227504265906209,0.0829590402410363,"MNAR","dropNA_simple",1
"69",1,"propMissAct_0.69","xreg2",-0.0713203834606152,0.0300196703715082,"MNAR","dropNA_simple",1
"70",1,"propMissAct_0.69","sigma",0.0341897866150951,NA,"MNAR","dropNA_simple",1
"71",1,"propMissAct_0.74","ar1",0.33885930380326,0.0708212464294948,"MNAR","dropNA_simple",1
"72",1,"propMissAct_0.74","intercept",0.701602662837094,0.0472313005427746,"MNAR","dropNA_simple",1
"73",1,"propMissAct_0.74","xreg1",0.191100912128452,0.0778654514462523,"MNAR","dropNA_simple",1
"74",1,"propMissAct_0.74","xreg2",-0.0473221223585566,0.026489634541934,"MNAR","dropNA_simple",1
"75",1,"propMissAct_0.74","sigma",0.0278372055434741,NA,"MNAR","dropNA_simple",1
"76",1,"propMissAct_0.11","ar1",0.813496721744995,0.0246943681282383,"MNAR","dropNA_complete",1
"77",1,"propMissAct_0.11","intercept",-0.0069653153121994,0.117794066584575,"MNAR","dropNA_complete",1
"78",1,"propMissAct_0.11","xreg1",0.934614648931137,0.114421598753349,"MNAR","dropNA_complete",1
"79",1,"propMissAct_0.11","xreg2",-0.403001247978399,0.0555805167376316,"MNAR","dropNA_complete",1
"80",1,"propMissAct_0.11","sigma",0.181005269129026,NA,"MNAR","dropNA_complete",1
"81",1,"propMissAct_0.16","ar1",0.808418607955262,0.0259111933215881,"MNAR","dropNA_complete",1
"82",1,"propMissAct_0.16","intercept",0.198648555569463,0.109305675661094,"MNAR","dropNA_complete",1
"83",1,"propMissAct_0.16","xreg1",0.772717715971894,0.104961984303222,"MNAR","dropNA_complete",1
"84",1,"propMissAct_0.16","xreg2",-0.319306900573411,0.0527633668049132,"MNAR","dropNA_complete",1
"85",1,"propMissAct_0.16","sigma",0.143983369775901,NA,"MNAR","dropNA_complete",1
"86",1,"propMissAct_0.19","ar1",0.785826697354722,0.0277632949635985,"MNAR","dropNA_complete",1
"87",1,"propMissAct_0.19","intercept",0.236704775010249,0.101330373955804,"MNAR","dropNA_complete",1
"88",1,"propMissAct_0.19","xreg1",0.762626881818928,0.106424370533585,"MNAR","dropNA_complete",1
"89",1,"propMissAct_0.19","xreg2",-0.30159017104054,0.0518131543495239,"MNAR","dropNA_complete",1
"90",1,"propMissAct_0.19","sigma",0.13370770709618,NA,"MNAR","dropNA_complete",1
"91",1,"propMissAct_0.23","ar1",0.772169058133504,0.0295461866991706,"MNAR","dropNA_complete",1
"92",1,"propMissAct_0.23","intercept",0.23156400273056,0.102380119006068,"MNAR","dropNA_complete",1
"93",1,"propMissAct_0.23","xreg1",0.705568294023908,0.10895076989059,"MNAR","dropNA_complete",1
"94",1,"propMissAct_0.23","xreg2",-0.335673003314814,0.058030193432763,"MNAR","dropNA_complete",1
"95",1,"propMissAct_0.23","sigma",0.132852377638752,NA,"MNAR","dropNA_complete",1
"96",1,"propMissAct_0.27","ar1",0.780493098482636,0.0301777586280539,"MNAR","dropNA_complete",1
"97",1,"propMissAct_0.27","intercept",0.315664519418119,0.09951114944961,"MNAR","dropNA_complete",1
"98",1,"propMissAct_0.27","xreg1",0.632080941647818,0.103418436269738,"MNAR","dropNA_complete",1
