"","X","simNumber","autocorrs","prop_miss","autocorr_act","estim_r","estim_alpha","se_r","se_alpha","lower_r","lower_alpha","upper_r","upper_alpha","r","alpha","N0"
"8236",1,135,0.6,0.07,0.44,0.167700087958585,0.0348803562176559,0.305417837680129,0.0325488173855656,-0.459640563774707,-0.0295485659270638,0.740325379251805,0.0983825868363274,0.0398658363878949,0.00682096038013697,21
"8237",1,135,0.6,0.18,0.34,0.500132064553614,0.0736111995507339,0.24885642560459,0.028804384335545,-0.00595919669452811,0.0172641807068893,0.971330240563102,0.130445628310669,0.0398658363878949,0.00682096038013697,21
"8238",1,135,0.6,0.14,0.35,0.57031870557097,0.0968146308488495,0.290617654715616,0.0383181128189314,-0.0187695279993805,0.023003405048538,1.12322142206239,0.173730470561102,0.0398658363878949,0.00682096038013697,21
"8239",1,135,0.6,0.31,0.23,0.570310054753036,0.068241399322548,0.258711335039324,0.0260575689414875,0.0461841244311676,0.017033120800699,1.06185348416708,0.119365695768858,0.0398658363878949,0.00682096038013697,21
"8240",1,135,0.6,0.07,0.47,0.220031038238592,0.0408722972586122,0.301815673408087,0.0322338291711328,-0.401043659608194,-0.0230220200974389,0.784903916924726,0.103688201046519,0.0398658363878949,0.00682096038013697,21
"8241",1,135,0.6,0.29,0.52,0.239965480416614,0.037618660777825,0.326215202516683,0.0327048289493161,-0.425050200099524,-0.027014291061877,0.855386725607823,0.101372110297728,0.0398658363878949,0.00682096038013697,21
"8242",1,135,0.6,0.47,0.18,0.882167111324925,0.119199935867896,0.218877095572896,0.0256960833834806,0.444123443372526,0.0697238714429852,1.30315891570914,0.170639676561581,0.0398658363878949,0.00682096038013697,21
"8243",1,135,0.6,0.43,0.12,1.07064495926309,0.107652097105766,0.254895252104588,0.0239761599300221,0.555887769419115,0.0607922009286207,1.55643610672167,0.154939394524159,0.0398658363878949,0.00682096038013697,21
"8244",1,135,0.6,0.55,0.12,0.980803858323618,0.104474964565764,0.208328006141702,0.0217294243248219,0.561227489624727,0.0620109320601639,1.37855021868467,0.147284988905145,0.0398658363878949,0.00682096038013697,21
"8245",1,135,0.6,0.5,0.18,0.812694744543897,0.0891643538169042,0.17669077444983,0.0172357371023642,0.462013921963046,0.0565229304326729,1.1549831440497,0.124138252958332,0.0398658363878949,0.00682096038013697,21
"8246",1,135,0.6,0.62,0.18,0.780470498951225,0.0961056250951126,0.181804980321285,0.0196590134144814,0.416098942634382,0.0577982272965738,1.12931789959476,0.134939176197516,0.0398658363878949,0.00682096038013697,21
"8247",1,142,0.6,0.07,0.56,-0.102076925271658,0.0124152364455254,0.327416915713876,0.0387873463099538,-0.769025461734796,-0.0631023280875473,0.517391484616286,0.0893879816559583,0.0606732989060985,0.00486359965777956,16
"8248",1,142,0.6,0.14,0.26,-0.0505200353062294,0.0175356086288228,0.294449073955973,0.0330287993735776,-0.650274906132288,-0.0465445282736673,0.507020291902936,0.0834055678613856,0.0606732989060985,0.00486359965777956,16
"8249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8250",1,142,0.6,0.36,0.61,-0.16727080579497,0.000921411409993989,0.319150136767792,0.0328749935512477,-0.820086045649024,-0.0636722197663079,0.434052810743512,0.0655827541620007,0.0606732989060985,0.00486359965777956,16
"8251",1,142,0.6,0.07,0.6,-0.19884616732237,-0.00214412026769327,0.295526705116942,0.0308947704460605,-0.804066475842035,-0.0627300256625654,0.357651885638017,0.0588214696465918,0.0606732989060985,0.00486359965777956,16
"8252",1,142,0.6,0.47,0.54,0.0681991884892545,0.0265491754575601,0.278754809193277,0.029034284218528,-0.501741234591708,-0.0304880884479033,0.593463977738603,0.0836499576702712,0.0606732989060985,0.00486359965777956,16
"8253",1,142,0.6,0.29,0.72,-0.176819519311334,-0.00120586753275172,0.327673337252563,0.0337191254177102,-0.842748142582173,-0.0672963924072593,0.444290677002618,0.0652027152516721,0.0606732989060985,0.00486359965777956,16
"8254",1,142,0.6,0.25,0.58,-0.102552045421557,0.00631342799750279,0.2657720223388,0.0292497573700845,-0.642619784906933,-0.0505412581995587,0.401710658677641,0.0645026262260184,0.0606732989060985,0.00486359965777956,16
"8255",1,142,0.6,0.58,0.35,0.1264174142585,0.0279155250190173,0.25361913707006,0.0278663057801141,-0.386189690452999,-0.0265199257243814,0.609342845639994,0.0829023740062493,0.0606732989060985,0.00486359965777956,16
"8256",1,142,0.6,0.68,0.4,0.127783055364184,0.0149640296361812,0.179364727772351,0.0151109482476352,-0.232172776961304,-0.0147812684742803,0.471296723950262,0.0444890020623249,0.0606732989060985,0.00486359965777956,16
"8257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8258",1,144,0.6,0.26,0.72,0.0816523426501708,0.00616659347430613,0.193448171859353,0.0100401948391491,-0.307217671598036,-0.0136469676148626,0.451471710874863,0.0257312004127986,0.0472052811142892,0.0057073901402764,15
"8259",1,144,0.6,0.16,0.65,0.175851104224638,0.015530852245807,0.226489945934526,0.0146006740691199,-0.277922340419272,-0.0131514672957573,0.60997696421653,0.0440843381153574,0.0472052811142892,0.0057073901402764,15
"8260",1,144,0.6,0.16,0.6,0.175119646846193,0.0157006393848072,0.215625378261817,0.013852577966277,-0.256612301771442,-0.0114535952260956,0.588802230979308,0.0428589591711575,0.0472052811142892,0.0057073901402764,15
"8261",1,144,0.6,0.53,0.02,1.30331289896691,0.0912799103338353,0.175829082375166,0.011481283945056,0.953953633180953,0.0689566170941535,1.64349967143413,0.113984532619574,0.0472052811142892,0.0057073901402764,15
"8262",1,144,0.6,0.33,0.47,0.164933610006673,0.0144712830529201,0.17831849805548,0.0109689581699922,-0.191700695542156,-0.00694422419969592,0.507647321969334,0.0360799245264446,0.0472052811142892,0.0057073901402764,15
"8263",1,144,0.6,0.05,0.72,0.101516753452637,0.00973493548162084,0.20629835500642,0.0121809750607816,-0.310877867274306,-0.0141137369456773,0.498018567940187,0.0336485263939291,0.0472052811142892,0.0057073901402764,15
"8264",1,144,0.6,0.33,0.5,0.0669639257448867,0.00854511741077554,0.226368901611394,0.0151935874784525,-0.391984034674201,-0.0217417791140952,0.495962613727814,0.0378545001142856,0.0472052811142892,0.0057073901402764,15
