date,GPP,light,GPP.upper,GPP.lower,Jdate,light.rel,Q
2016-01-01T00:00:00Z,0.17594728169561,51.9684583333333,0.448375848478991,-0.110356351923467,1,0.1568482289160718,9.118023727293693
2016-01-02T00:00:00Z,0.21381943437196,69.6077916666667,0.516599361908469,-0.0779339529524216,2,0.2100862560064189,8.919805820178613
2016-01-03T00:00:00Z,0.381870358574492,49.5337083333333,0.667310491738832,0.116236337178041,3,0.1494998057070566,8.806538444684282
2016-01-04T00:00:00Z,0.0384715962646685,68.241125,0.311497687858841,-0.247224255363297,4,0.20596146083142308,8.664954225316366
2016-01-05T00:00:00Z,0.136836977108765,78.64375,0.41664457631633,-0.14535758316942,5,0.23735806869041548,7.758815221361714
2016-01-06T00:00:00Z,0.371444078123482,75.59425,0.660213598702181,0.0623868205313557,6,0.22815424218835498,8.551686849822035
2016-01-07T00:00:00Z,0.135227882816655,31.0557916666667,0.412301027125328,-0.145363056729439,7,0.09373081435780857,8.49505316207487
2016-01-08T00:00:00Z,0.181853151843885,46.2201666666667,0.462276366859087,-0.0923992950159111,8,0.1394990637469491,8.381785786580538
2016-01-09T00:00:00Z,0.151743709997447,26.2576666666667,0.444321900658658,-0.151811684726667,9,0.07924938788291133,9.96752904350118
2016-01-10T00:00:00Z,0.192715528160422,56.7894166666667,0.493931718796835,-0.0875212628170596,10,0.1713985696518198,11.751490207536904
2016-01-11T00:00:00Z,0.27978599729187,67.798125,0.568227408751719,-0.00220045600604934,11,0.20462442356616228,10.505549077099255
2016-01-12T00:00:00Z,0.206553131403757,34.6598333333333,0.478694379838895,-0.0767232220374873,12,0.10460832680450359,9.627726917018185
2016-01-13T00:00:00Z,0.130835395504505,42.2302916666667,0.409660123784731,-0.143924988762858,13,0.12745705119902034,9.457825853776688
2016-01-14T00:00:00Z,0.273935119821809,37.3744166666667,0.578509833070802,-0.0366628770982513,14,0.11280132697678943,9.08970688342011
2016-01-15T00:00:00Z,0.172923161960532,51.283875,0.464943168484326,-0.112623834544004,15,0.15478205865006034,9.033073195672944
2016-01-16T00:00:00Z,0.120879686185314,51.6314166666667,0.39321145629718,-0.146506951622371,16,0.15583098903282383,8.948122664052196
2016-01-17T00:00:00Z,0.317569215284058,34.6002916666667,0.624724841872006,-0.00144899274619872,17,0.10442862155130045,8.523370005948452
2016-01-18T00:00:00Z,-0.0619575395649107,34.8927916666667,0.215141706535398,-0.337176757526988,18,0.10531142832350991,7.843765752982463
2016-01-19T00:00:00Z,0.0706343926460787,92.14325,0.357679868340801,-0.224685448400393,19,0.2781014875671382,8.01366681622396
2016-01-20T00:00:00Z,0.174738368767997,39.9370833333333,0.466033416645124,-0.120643941755285,20,0.12053582095370799,8.353468942706956
2016-01-21T00:00:00Z,0.312703433372414,66.4762916666667,0.584573062764122,0.00278619461799571,21,0.20063494179385863,7.985349972350377
2016-01-22T00:00:00Z,0.314413645148515,55.91625,0.596368085951784,0.0183047747988231,22,0.16876322795403886,7.900399440729629
2016-01-23T00:00:00Z,0.262051456123323,96.3700416666667,0.576872033784381,-0.0338357641888001,23,0.29085854844936665,7.900399440729629
2016-01-24T00:00:00Z,0.235449467386047,88.433375,0.522043339828932,-0.0573969505870757,24,0.26690455500628174,7.815448909108881
2016-01-25T00:00:00Z,0.347998664642408,94.4615416666667,0.659123204260766,0.0286034547474074,25,0.2850984228946257,7.787132065235297
2016-01-26T00:00:00Z,0.159628006546367,46.990125,0.453534807295798,-0.129754391273995,26,0.14182290795544733,8.01366681622396
2016-01-27T00:00:00Z,0.263875902204255,85.672875,0.549196385173712,-0.0362877558112924,27,0.25857297177659233,8.098617347844709
2016-01-28T00:00:00Z,0.285610701116588,29.0330833333333,0.605330441938539,-0.0392182033737064,28,0.08762599174286427,8.126934191718291
2016-01-29T00:00:00Z,0.384612775648173,101.608,0.679702910899243,0.106595182444191,29,0.30666745473728985,8.041983660097543
2016-01-30T00:00:00Z,0.324032192242578,89.101625,0.623375998311585,0.0137463045981567,30,0.2689214289397141,7.928716284603212
2016-01-31T00:00:00Z,0.414930433284817,59.4095833333333,0.699005709070271,0.138589602767384,31,0.17930660684036925,8.126934191718291
2016-02-01T00:00:00Z,0.408961300702818,117.83675,0.709432825434817,0.112719205957027,32,0.35564813988085914,9.401192166029523
2016-02-02T00:00:00Z,0.192611946336675,78.9067916666667,0.4827786152702,-0.0968253220408276,33,0.23815196600565183,10.109113262869094
2016-02-03T00:00:00Z,0.130405477875138,44.8410833333333,0.455615601339359,-0.186697152482204,34,0.13533679329871695,10.590499608720004
2016-02-04T00:00:00Z,0.187390255899684,41.4531666666667,0.495111253310109,-0.127772071270526,35,0.12511157696704336,11.72317336366332
2016-02-05T00:00:00Z,NA,61.03264583333335,NA,NA,36,0.1842052412565034,10.56218276484642
2016-02-06T00:00:00Z,0.232474227798729,80.612125,0.520774742339774,-0.0594480400259521,37,0.24329890554596342,9.7693111363861
2016-02-07T00:00:00Z,0.371484360903221,80.5833333333333,0.705232269683797,0.0615866858675232,38,0.2432120081841974,9.316241634408774
2016-02-08T00:00:00Z,0.434202791419672,80.5558333333333,0.760613794785897,0.117671158585759,39,0.24312900925689565,9.259607946661609
2016-02-09T00:00:00Z,0.337091978317999,36.8157083333333,0.663760449966727,0.0231103153937403,40,0.11111506543710882,9.259607946661609
2016-02-10T00:00:00Z,0.398769261817426,78.7202916666667,0.724861921924818,0.0801767707625995,41,0.23758908237140544,8.806538444684282
