missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
propMissAct_0.19,b_Intercept,0.5016073652232185,0.08084850429184068,0.34315265029414266,0.5017049886277041,0.6612586160325478,MNAR,brms,486
propMissAct_0.19,b_light,0.722636621504405,0.06194103418808746,0.600936446673161,0.722338071987139,0.8423220901455127,MNAR,brms,486
propMissAct_0.19,b_discharge,-1.6097153783609284,0.07027630667390633,-1.7481602279927158,-1.6096357316265744,-1.4706531901535744,MNAR,brms,486
propMissAct_0.19,phi,0.2962732915899946,0.06639335918736113,0.16669044147433829,0.2968246349385184,0.4247966306456245,MNAR,brms,486
propMissAct_0.19,sigma,0.893540648370998,0.04215350240046202,0.8148977429119095,0.8924435434658609,0.9792268008712202,MNAR,brms,486
propMissAct_0.19,Intercept,0.36779457932656284,0.08055102881666143,0.20821910911211478,0.36803631709337536,0.52666929722787,MNAR,brms,486
propMissAct_0.2,b_Intercept,0.5034928219844053,0.07944977496358899,0.3464432035612337,0.5034230840182456,0.66179331373663,MNAR,brms,486
propMissAct_0.2,b_light,0.7257601276770732,0.06210000560784486,0.6059389374500883,0.7252709532037729,0.8496178534941601,MNAR,brms,486
propMissAct_0.2,b_discharge,-1.600047480251515,0.07283309049629359,-1.7409145046349939,-1.6008986495106918,-1.4556454638097542,MNAR,brms,486
propMissAct_0.2,phi,0.2939823527830917,0.06623993288935817,0.16103276403994563,0.29473632134096567,0.42004453705077305,MNAR,brms,486
propMissAct_0.2,sigma,0.8963083982864352,0.04174789300164603,0.8212547023554099,0.894439418320714,0.9833800362096107,MNAR,brms,486
propMissAct_0.2,Intercept,0.3701054269892719,0.07930725837343079,0.21329795057211492,0.3707205664390276,0.5291290872682735,MNAR,brms,486
propMissAct_0.21,b_Intercept,0.4738052561045376,0.07643985579194186,0.3224548653725365,0.4737745673010413,0.6256309944131041,MNAR,brms,486
propMissAct_0.21,b_light,0.7008386011916471,0.06408508994908871,0.5751886559122368,0.7010414090504871,0.8245184168565327,MNAR,brms,486
propMissAct_0.21,b_discharge,-1.5682732416267664,0.07545587818617737,-1.7141989180000314,-1.5686411244834253,-1.4197368018075656,MNAR,brms,486
propMissAct_0.21,phi,0.2656662953947844,0.06964419198756423,0.1275414561533935,0.2670533957422369,0.3991548092124311,MNAR,brms,486
propMissAct_0.21,sigma,0.8879678879065462,0.0421321892107481,0.8105675074159006,0.8861761832961434,0.9757695264922965,MNAR,brms,486
