missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
propMissAct_0.15,b_Intercept,-1.3193638397275482,0.18708598995057646,-1.6915656519964175,-1.318725243203883,-0.9541376648565622,MNAR,brms,846
propMissAct_0.15,b_light,0.5463985126217129,0.05868853167983239,0.42896328617332485,0.5463559142802297,0.65934135761429,MNAR,brms,846
propMissAct_0.15,b_discharge,-1.6942754457621927,0.05821813252699164,-1.8072653543926152,-1.6942297562230508,-1.5795584744329965,MNAR,brms,846
propMissAct_0.15,phi,0.7078316635842251,0.04530492050672067,0.6165183923945303,0.7086813562370664,0.7942671258432062,MNAR,brms,846
propMissAct_0.15,sigma,0.9219873472118241,0.04228775408627845,0.8444658103921627,0.9200949606374205,1.0098624116331412,MNAR,brms,846
propMissAct_0.15,Intercept,-1.2635654672236651,0.18710347925353507,-1.6357381082335662,-1.2628046521881644,-0.8976115431016923,MNAR,brms,846
propMissAct_0.16,b_Intercept,-1.3069560036835133,0.18745398794393633,-1.6723154465660313,-1.3084800005667616,-0.942813359368006,MNAR,brms,846
propMissAct_0.16,b_light,0.5499806872571235,0.0586805417106861,0.43474516798828555,0.5497869104041286,0.6688367890538621,MNAR,brms,846
propMissAct_0.16,b_discharge,-1.6825935110206385,0.05764192488976858,-1.796270917851505,-1.6832160306190056,-1.5694436766976672,MNAR,brms,846
propMissAct_0.16,phi,0.7077893890365596,0.04520131337347505,0.6187551727687938,0.7077421263857389,0.795389642020444,MNAR,brms,846
propMissAct_0.16,sigma,0.9149638578849603,0.041545586109952695,0.8386399486271654,0.9139331780608748,1.0005591614900335,MNAR,brms,846
propMissAct_0.16,Intercept,-1.2520551525247752,0.18730651858318853,-1.617572031111939,-1.2538645158152606,-0.8859553761061326,MNAR,brms,846
propMissAct_0.17,b_Intercept,-1.3085390892669855,0.1867343458783763,-1.6822200229452684,-1.3095902139743778,-0.9366264790087544,MNAR,brms,846
propMissAct_0.17,b_light,0.5462015511027841,0.05924628669541996,0.4341983210286184,0.5451635952673477,0.6600086892115151,MNAR,brms,846
