missingprop_autocor,Estimate,Est.Error,Q2.5,Q97.5,date,GPP,missingness,type,run_no
propMissAct_0.18,-0.321397676922936,1.0016257475152575,-2.2565441923585037,1.6617689527446138,292,0.25698066273363046,MNAR,brms,212
propMissAct_0.18,4.792038323682046,1.2683973073544057,2.3009980673455974,7.242857555947123,293,2.5274746702223982,MNAR,brms,212
propMissAct_0.18,0.4584184762618138,1.3965478029532408,-2.316481527552438,3.1478663835981044,294,1.2203382236105376,MNAR,brms,212
propMissAct_0.18,-1.0854121738972584,1.4799803420719992,-4.0460087954690245,1.8185531247094011,295,2.7823756859357762,MNAR,brms,212
propMissAct_0.18,1.225822841402801,1.4898678405399117,-1.7464318568417434,4.16157027420205,296,1.80105441983884,MNAR,brms,212
propMissAct_0.18,0.33599363094204315,1.5564455906662065,-2.7414576154491437,3.4062078387045696,297,-3.5442181458033626,MNAR,brms,212
propMissAct_0.18,1.1775097421336598,1.5369743447595474,-1.8818233235183914,4.228047200152891,298,0.5374662581734517,MNAR,brms,212
propMissAct_0.18,-0.47218400996848786,1.5916472104811756,-3.672575839060219,2.632516757241477,299,-1.1055146280443675,MNAR,brms,212
propMissAct_0.18,2.9255932479991116,1.5917910342995367,-0.27309683816319735,6.041345589306965,300,0.08527479703533758,MNAR,brms,212
propMissAct_0.18,3.1689215312700227,1.5872165858044174,0.057202367019717953,6.28051723584432,301,-1.3975559551598598,MNAR,brms,212
propMissAct_0.18,3.506258412807001,1.5737032483613815,0.3562788212924449,6.695878582260443,302,-0.051540433831295474,MNAR,brms,212
propMissAct_0.18,4.476354691160117,1.6211470004117299,1.2799331846814221,7.665049319188044,303,0.5200540716514785,MNAR,brms,212
propMissAct_0.18,1.2569711096524179,1.6090903018068625,-1.9594632713785276,4.355290523887369,304,-3.3839664310353528,MNAR,brms,212
propMissAct_0.18,0.31001733033017487,1.624688536454055,-2.8721557420542516,3.535841044243655,305,-5.340536327165757,MNAR,brms,212
propMissAct_0.18,0.15165575505172788,1.6330458241608201,-3.073333050611899,3.3291215157706855,306,0.02560522025386147,MNAR,brms,212
propMissAct_0.18,0.3749134710320776,1.627408146023654,-2.8838398136076497,3.6089364857236856,307,5.273060124397836,MNAR,brms,212
propMissAct_0.18,0.7838663408043893,1.6320184967688038,-2.4861956656276063,4.032032075155404,308,2.0434340433279563,MNAR,brms,212
propMissAct_0.18,3.039839684894133,1.6042225542858508,-0.09490477235945037,6.1542016290693375,309,1.57869670147946,MNAR,brms,212
propMissAct_0.18,2.3607105152474013,1.591097133029502,-0.7293288747897632,5.502632634958778,310,6.924533187943445,MNAR,brms,212
propMissAct_0.18,3.1187460441415094,1.603217620171603,-0.02870256672136016,6.2464728239224705,311,-0.14077188648026873,MNAR,brms,212
propMissAct_0.18,0.7660805563424029,1.6001794819938888,-2.429612686100952,3.8990324935553473,312,1.6731510818178033,MNAR,brms,212
propMissAct_0.18,0.5536318728672351,1.6036429819107192,-2.594129584609093,3.648946638741666,313,-1.0078836888462752,MNAR,brms,212
propMissAct_0.18,1.2174056241824434,1.5850884754021513,-1.9094484440920274,4.354806140836141,314,0.8212318623168579,MNAR,brms,212
propMissAct_0.18,3.7240192494767825,1.6183586360918922,0.5417712797486958,6.906325966577262,315,-0.5392996017546159,MNAR,brms,212
propMissAct_0.18,2.6830706282996752,1.6194783836078208,-0.5040353819976189,5.846181516639296,316,-1.3487545787517363,MNAR,brms,212
propMissAct_0.18,1.247607727901033,1.6115117705486086,-1.9163594643900586,4.440536088663054,317,0.5183960893173749,MNAR,brms,212
propMissAct_0.18,2.8085052691618544,1.6174538112394088,-0.3797823078972946,5.89588879754958,318,1.28801663477202,MNAR,brms,212
propMissAct_0.18,1.5099831656215807,1.616097935148008,-1.6738135524840994,4.664569959967904,319,0.30588250674765827,MNAR,brms,212
propMissAct_0.18,-1.8026013798306206,1.5966831495784006,-4.908480785427063,1.3566105973645741,320,2.3573773315087547,MNAR,brms,212
propMissAct_0.18,2.658509086626314,1.5940115412009683,-0.49674783321971017,5.799693250419566,321,3.33443409184634,MNAR,brms,212
propMissAct_0.18,3.0718896282349135,1.6141519969733467,-0.13601888976917045,6.268212516088267,322,2.056290895131614,MNAR,brms,212
propMissAct_0.18,5.553198577385964,1.6190784962738087,2.2941908899709884,8.76167690272257,323,1.1370620422966842,MNAR,brms,212
propMissAct_0.18,-0.9040478714810877,1.6105535739780656,-4.112822588314587,2.236620948163396,324,0.45739355372498247,MNAR,brms,212
propMissAct_0.18,1.1353740587356136,1.5855315176938718,-2.0529978474973616,4.2700416388118825,325,2.555144463579172,MNAR,brms,212
propMissAct_0.18,-0.618603655388662,1.597503990049445,-3.7906441364367884,2.520194392351797,326,1.859064946050117,MNAR,brms,212
propMissAct_0.18,3.3536396774379083,1.5977208022882756,0.17295815234694736,6.453787541878072,327,4.8120650833747725,MNAR,brms,212
propMissAct_0.18,4.641068494788681,1.6133833825809518,1.4884645296459214,7.789829429063817,328,5.686549390723527,MNAR,brms,212
propMissAct_0.18,-1.5796093741102322,1.6154418766603873,-4.755393834767008,1.609470295659833,329,-0.180841508177654,MNAR,brms,212
propMissAct_0.18,3.68078282113145,1.608059920081818,0.5663391709986388,6.908627128827462,330,3.3189776897923178,MNAR,brms,212
propMissAct_0.18,1.5550443081673964,1.595518196132894,-1.608018804576094,4.700661799435976,331,1.8951415580925475,MNAR,brms,212
