missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
propMissAct_0.16,b_Intercept,2.874581380806247,0.06186280414963989,2.7534613805776,2.874127939874454,2.9971720038466865,MNAR,brms,259
propMissAct_0.16,b_light,0.9117451900518698,0.06347383670058114,0.7886867446681564,0.9108929804902278,1.0372933927517836,MNAR,brms,259
propMissAct_0.16,b_discharge,1.3925292168379952,0.07960693987622779,1.233777660746842,1.3931450850939022,1.5449539735111895,MNAR,brms,259
propMissAct_0.16,phi,0.048681611063113486,0.06789275918326058,-0.08550124990206044,0.048595587889121904,0.17870678202945633,MNAR,brms,259
propMissAct_0.16,sigma,0.918910951262031,0.04150432297455915,0.8433149139326487,0.9167781090823549,1.005420196053554,MNAR,brms,259
propMissAct_0.16,Intercept,2.9547455519769628,0.06162919441213677,2.8341668494999706,2.954131952129332,3.0759646385449875,MNAR,brms,259
propMissAct_0.17,b_Intercept,2.862930062185631,0.06177628917490153,2.7404735938493845,2.8630434258528785,2.9838790518612566,MNAR,brms,259
propMissAct_0.17,b_light,0.9062231639236055,0.06330498371619026,0.781406441887823,0.9064710370591001,1.0319964384788547,MNAR,brms,259
propMissAct_0.17,b_discharge,1.3636806630570024,0.08059700834298028,1.2051960536331097,1.3650421573769784,1.5176207868492262,MNAR,brms,259
propMissAct_0.17,phi,0.05051991293936794,0.06660915553223078,-0.08030966288557073,0.049813414122004795,0.18340972132973413,MNAR,brms,259
propMissAct_0.17,sigma,0.9098837458833574,0.041880694257507275,0.8323073229982141,0.9082223224893631,0.9968819487926885,MNAR,brms,259
propMissAct_0.17,Intercept,2.942515917724813,0.06148555136966971,2.8203769914556607,2.942262895803828,3.061918838892538,MNAR,brms,259
propMissAct_0.18,b_Intercept,2.8632384033508638,0.06126487521359897,2.74479061428983,2.8629178497204695,2.9848741570656125,MNAR,brms,259
propMissAct_0.18,b_light,0.8873787974479265,0.06412495766049271,0.7630896878556437,0.8869842420356392,1.0128719063576366,MNAR,brms,259
propMissAct_0.18,b_discharge,1.3492323466823164,0.0805563935191751,1.1921321433104446,1.3479448502671074,1.506246108053114,MNAR,brms,259
propMissAct_0.18,phi,0.052618139361997,0.06965977021049256,-0.08267705957672705,0.053466604836236734,0.18908671774832486,MNAR,brms,259
propMissAct_0.18,sigma,0.9107500727358738,0.04160470569146203,0.833646829756495,0.9088708818555933,0.9973826259580496,MNAR,brms,259
propMissAct_0.18,Intercept,2.9412325423918895,0.06110057107048477,2.8220705344637897,2.9411050652141024,3.062927728703375,MNAR,brms,259
propMissAct_0.19,b_Intercept,2.858447148491173,0.06165894777710269,2.7355888004420286,2.857942826018755,2.980554619025334,MNAR,brms,259
propMissAct_0.19,b_light,0.8754727816148765,0.06433127390938298,0.750651215438171,0.8754014079766066,1.0007980126228275,MNAR,brms,259
propMissAct_0.19,b_discharge,1.3402760744412539,0.07940744872452823,1.1847685691511265,1.3400306703211382,1.4960528018950696,MNAR,brms,259
propMissAct_0.19,phi,0.050557170104110115,0.06827430916070386,-0.08385668314606629,0.05109067334625249,0.18493533079041302,MNAR,brms,259
propMissAct_0.19,sigma,0.9053850176891187,0.042409362776822376,0.8275057109244499,0.9037786973291108,0.9945927087870806,MNAR,brms,259
propMissAct_0.19,Intercept,2.9354364119408483,0.061532106705804744,2.8122065752047827,2.935309318300903,3.057367569130765,MNAR,brms,259
propMissAct_0.19,b_Intercept,2.862512760578773,0.06302172527359562,2.738689321883314,2.8624175980986513,2.984304051266046,MNAR,brms,259
propMissAct_0.19,b_light,0.8776984069533708,0.06539143421011177,0.7514007896763961,0.8770547944024862,1.0052305104569637,MNAR,brms,259
propMissAct_0.19,b_discharge,1.3272689133635913,0.08136890707266975,1.167583203573893,1.3261429192775904,1.48834974360367,MNAR,brms,259
propMissAct_0.19,phi,0.04757583983697552,0.06847853139635036,-0.08978116837423186,0.047337986231682075,0.1804098643858943,MNAR,brms,259
propMissAct_0.19,sigma,0.9020056539196495,0.04213019761419126,0.8252719789045613,0.8999306694541864,0.9896578735278717,MNAR,brms,259
propMissAct_0.19,Intercept,2.9396231319255435,0.06274498484073529,2.8164404464510207,2.9394510151978244,3.060961197808414,MNAR,brms,259
propMissAct_0.35,b_Intercept,2.8229854307213986,0.05771263171700448,2.7113190414440775,2.822924859115745,2.935752441247495,MNAR,brms,259
propMissAct_0.35,b_light,0.6824210183205947,0.06847174462692118,0.5476613945421399,0.6826894420154259,0.8189887623339492,MNAR,brms,259
propMissAct_0.35,b_discharge,1.0095214050180248,0.09130764167139284,0.8297832854650896,1.0095894713233724,1.1867877790391002,MNAR,brms,259
propMissAct_0.35,phi,-0.03230025194680442,0.08178620251865311,-0.19663876880033226,-0.032282643622251486,0.12762425658739948,MNAR,brms,259
propMissAct_0.35,sigma,0.8089587464359987,0.041793788985883575,0.732538281272106,0.8073224553183704,0.8961447949089936,MNAR,brms,259
propMissAct_0.35,Intercept,2.8828376356973195,0.05796458239165058,2.767909899001876,2.882725983440237,2.9975649500722215,MNAR,brms,259
propMissAct_0.36,b_Intercept,2.821361377251417,0.05710350741021238,2.7102766405265974,2.820692556535799,2.934038593558402,MNAR,brms,259
propMissAct_0.36,b_light,0.6640293898773603,0.06941025180009813,0.5253895661891308,0.6640534389058937,0.7984288064459993,MNAR,brms,259
propMissAct_0.36,b_discharge,1.019388258114504,0.09418861316289395,0.8384358439507756,1.0189243478010226,1.2066221068685858,MNAR,brms,259
propMissAct_0.36,phi,-0.034478007748345765,0.08280954766494272,-0.19883117025881167,-0.0333873565004794,0.1287345475455599,MNAR,brms,259
propMissAct_0.36,sigma,0.7973754918559268,0.04187811205576711,0.7221396621412046,0.7953121160517449,0.8873433790441105,MNAR,brms,259
propMissAct_0.36,Intercept,2.8797690571260803,0.05730885824986024,2.7686383845682823,2.8791912721061474,2.993346445301654,MNAR,brms,259
propMissAct_0.38,b_Intercept,2.8189364888960604,0.05765414760232619,2.7038626787147293,2.819351329045876,2.9322562108849235,MNAR,brms,259
propMissAct_0.38,b_light,0.6586052374457547,0.07075773099324535,0.5193306655304851,0.6592276086057267,0.7976045972072554,MNAR,brms,259
propMissAct_0.38,b_discharge,0.9797754859330614,0.0952988975307789,0.7903072555403783,0.9798372533034415,1.165535695570048,MNAR,brms,259
propMissAct_0.38,phi,-0.026434059716802634,0.08279923529256547,-0.18975262956572753,-0.026619995882385394,0.13416509118064437,MNAR,brms,259
propMissAct_0.38,sigma,0.7919778081768628,0.04226656996134782,0.7154612475123031,0.7899817108456539,0.8809611092349177,MNAR,brms,259
propMissAct_0.38,Intercept,2.876724848756138,0.058069437919882026,2.7614324678923743,2.8767774268771724,2.9911474723870723,MNAR,brms,259
propMissAct_0.38,b_Intercept,2.8260503521824463,0.05853845209037832,2.710241588552578,2.826133977698672,2.941458553717252,MNAR,brms,259
propMissAct_0.38,b_light,0.6515557749002538,0.07111218095216564,0.5137079979221438,0.6510930761246569,0.7906823940123175,MNAR,brms,259
propMissAct_0.38,b_discharge,0.9644446262013753,0.09556123434542915,0.7732480370492284,0.9638331350095171,1.149805756795951,MNAR,brms,259
propMissAct_0.38,phi,-0.020888783077873292,0.08455159265353487,-0.18240180013439353,-0.02190844938457403,0.14595021814394507,MNAR,brms,259
propMissAct_0.38,sigma,0.7935303693602344,0.042263807212622316,0.7157056816670057,0.7915133787277091,0.883248771812679,MNAR,brms,259
propMissAct_0.38,Intercept,2.8831981493985412,0.05881841689656371,2.7681261105128607,2.882891150844018,2.999411876703885,MNAR,brms,259
propMissAct_0.39,b_Intercept,2.822600152543077,0.05594152515093828,2.711331547701585,2.822342699707953,2.932800847850188,MNAR,brms,259
propMissAct_0.39,b_light,0.6403405527217391,0.07061991794439115,0.5028147386723882,0.6400895271235525,0.778541397012062,MNAR,brms,259
propMissAct_0.39,b_discharge,0.9291921022265748,0.096313145246458,0.743149024753976,0.9290978317214155,1.1199932054668953,MNAR,brms,259
propMissAct_0.39,phi,-0.0751021505946475,0.08837873087721133,-0.2437944104824085,-0.07710730194565682,0.09935824798616529,MNAR,brms,259
propMissAct_0.39,sigma,0.7867582782994333,0.04230204880543655,0.7076722216783342,0.7853597294576087,0.8740650520950001,MNAR,brms,259
propMissAct_0.39,Intercept,2.8786794820534274,0.05632288860555438,2.767465790659093,2.878759529371257,2.9902185104911005,MNAR,brms,259
propMissAct_0.56,b_Intercept,2.88585344484577,0.05788923313073278,2.771735551732279,2.885293250018978,3.003260197605856,MNAR,brms,259
propMissAct_0.56,b_light,0.33885948058544363,0.07412963851530728,0.19225601227896444,0.33879668162897236,0.48058951449880455,MNAR,brms,259
propMissAct_0.56,b_discharge,0.6400997562451562,0.09376996426773886,0.4571959284379739,0.6398988012386071,0.8232406083239061,MNAR,brms,259
propMissAct_0.56,phi,0.009638691786814623,0.11529003365763227,-0.20908856585600344,0.008078089531870511,0.24074162625669432,MNAR,brms,259
propMissAct_0.56,sigma,0.6449929172818725,0.04090246080065075,0.5715389995787433,0.6427878428392574,0.7330403219627694,MNAR,brms,259
propMissAct_0.56,Intercept,2.9162043614621895,0.057990154000269314,2.8034928171604627,2.915642894143116,3.0343609482884593,MNAR,brms,259
propMissAct_0.57,b_Intercept,2.8657941730519925,0.0578691043608989,2.7540032512258645,2.8660693992570687,2.9798125950917544,MNAR,brms,259
propMissAct_0.57,b_light,0.36709783544967883,0.07264722444467801,0.22741317240417963,0.36749761579699713,0.5125360641257812,MNAR,brms,259
propMissAct_0.57,b_discharge,0.6145491987872695,0.09378453545288325,0.4270266896252399,0.6141418722425058,0.7996543474649441,MNAR,brms,259
propMissAct_0.57,phi,0.04224779100598986,0.1192211986522408,-0.1896863829170475,0.0417167520302881,0.27550746172010765,MNAR,brms,259
propMissAct_0.57,sigma,0.6242375418840501,0.040139929314881286,0.5532847394513345,0.6217598406706899,0.7071362167184088,MNAR,brms,259
propMissAct_0.57,Intercept,2.8983157220328954,0.05766564588524431,2.7866701352548637,2.8982838541262765,3.012028681357115,MNAR,brms,259
propMissAct_0.59,b_Intercept,2.8658718097990175,0.05492514026074877,2.761420811505183,2.8655383002226156,2.9736332261295444,MNAR,brms,259
propMissAct_0.59,b_light,0.35581139615141033,0.0709389784126705,0.21510064176803784,0.35604217836889346,0.49298332786934385,MNAR,brms,259
propMissAct_0.59,b_discharge,0.6053730920182031,0.09101223167691441,0.43090292326203045,0.6052041025348505,0.785586181327457,MNAR,brms,259
propMissAct_0.59,phi,-0.027178638670760105,0.13005301981114584,-0.27470527162241615,-0.029755949449889678,0.23128840462264388,MNAR,brms,259
propMissAct_0.59,sigma,0.5924577711580197,0.039210804768175456,0.5200293572632851,0.5910821566927942,0.6736819385346047,MNAR,brms,259
propMissAct_0.59,Intercept,2.897437657955877,0.05457736217438049,2.792849183650289,2.8970302914605046,3.0052671457691305,MNAR,brms,259
propMissAct_0.59,b_Intercept,2.8722664574685486,0.05365812871781887,2.7658232865942383,2.8727031801176297,2.974408624254623,MNAR,brms,259
propMissAct_0.59,b_light,0.35365229334791615,0.07175672562704266,0.21564691137781564,0.3529062836513912,0.4951159475839091,MNAR,brms,259
propMissAct_0.59,b_discharge,0.5962647485661771,0.09140439354829523,0.41753382097402036,0.5975101913827158,0.7812789679104606,MNAR,brms,259
propMissAct_0.59,phi,-0.03493650756518493,0.12932566255937678,-0.278135946168916,-0.039042560798771636,0.22732135619698104,MNAR,brms,259
propMissAct_0.59,sigma,0.5903070831158154,0.04000886817640828,0.5180544432491107,0.5877177188647171,0.6745092019110078,MNAR,brms,259
propMissAct_0.59,Intercept,2.9036160555755557,0.053330526155263236,2.7983681100187825,2.9043064515964225,3.0059219717344234,MNAR,brms,259
propMissAct_0.6,b_Intercept,2.870410235025939,0.05458654139037647,2.7627628690595274,2.8709224370442823,2.976335831191637,MNAR,brms,259
propMissAct_0.6,b_light,0.3520447679943951,0.06958755749028353,0.2170952508824867,0.3514969712523426,0.4889747098701117,MNAR,brms,259
propMissAct_0.6,b_discharge,0.578228675953272,0.09746440087363607,0.3832581259884851,0.5764254643474072,0.7725461676972225,MNAR,brms,259
propMissAct_0.6,phi,-0.025483899610257293,0.13531356598320504,-0.2832414558805184,-0.02576738906777886,0.24580800582472534,MNAR,brms,259
propMissAct_0.6,sigma,0.5923463452642023,0.040527880527067024,0.5178281728622857,0.5898950730942714,0.675510445860183,MNAR,brms,259
propMissAct_0.6,Intercept,2.901547668206364,0.05425711001321904,2.793347930992711,2.9020126380524376,3.0065840356527778,MNAR,brms,259
