"","site_name","date","GPP","GPP.lower","GPP.upper","GPP.Rhat","ER","ER.lower","ER.upper","K600","K600.lower","K600.upper","temp","Q","light","velocity","doy","year","site_year","GPP_temp"
"362612","nwis_05435943",2012-01-01,1.53957194522951,1.17440210052957,1.92258087760208,1.00147680976167,-4.06471486203196,-5.29198991339653,-2.87564622805783,10.1507488653297,7.08003433537655,13.2496467272872,7.29583333333333,0.39850062809375,70.2150416666667,0.290699315990252,1,2012,"nwis_05435943_2012",1.53957194522951
"362613","nwis_05435943",2012-01-02,1.71304443891437,1.30230541109682,2.13037187812293,1.00138853940228,-3.88530365264421,-4.94174289159884,-2.90204852366257,11.0969187729202,8.03762174717043,14.0899259107061,5.49895833333333,0.3698888139375,53.804375,0.283385774666016,2,2012,"nwis_05435943_2012",1.71304443891437
"362614","nwis_05435943",2012-01-03,1.56015742079022,1.18250077233526,1.91132234257327,1.00151023610432,-3.48589815462071,-4.40485008966755,-2.55651498639809,9.37224749971637,6.73421907358316,12.1332768065382,5.60833333333333,0.35012601446875,92.673,0.278165608429184,3,2012,"nwis_05435943_2012",1.56015742079022
"362615","nwis_05435943",2012-01-04,1.69754633978529,1.30837901170466,2.08674101666177,1.00022385109776,-3.70837696375272,-4.65529919077904,-2.75836823136049,9.65477634255545,6.97102248999127,12.3608987307531,6.81458333333333,0.336262558125,90.5177916666667,0.274392131238677,4,2012,"nwis_05435943_2012",1.69754633978529
"362616","nwis_05435943",2012-01-05,1.71336231117703,1.33741492563682,2.09952736252813,1.0001237738125,-3.8515497136018,-4.83565435577311,-2.89310143731204,9.6162637218331,7.08376563838952,12.3456658242933,7.81979166666667,0.33655752528125,91.07825,0.274471273681115,5,2012,"nwis_05435943_2012",1.71336231117703
"362617","nwis_05435943",2012-01-06,1.84670104408471,1.40917194889999,2.25752297233562,1.00043306748583,-4.20738881022,-5.22200118606233,-3.14449344420802,10.4657388716902,7.77743266319046,13.1932911365549,8.82708333333333,0.3132551199375,69.41575,0.2678694351551,6,2012,"nwis_05435943_2012",1.84670104408471
"362618","nwis_05435943",2012-01-07,1.60363514829019,1.21907668751906,2.01247808900061,0.999109257809304,-4.03578417574792,-5.1317041206254,-2.90272515493391,10.2428899696744,7.39074356430565,13.2100572236762,7.74895833333333,0.31590982434375,95.3399583333333,0.268622053933974,7,2012,"nwis_05435943_2012",1.60363514829019
"362619","nwis_05435943",2012-01-08,1.67489557670527,1.27395271523747,2.08213607427818,1.00474591427551,-4.01085725018749,-5.02496661257659,-2.89808183198367,9.59127150490735,6.78643014812935,12.2436644431625,7.23958333333333,0.311485317,95.4295,0.267367689302517,8,2012,"nwis_05435943_2012",1.67489557670527
"362620","nwis_05435943",2012-01-09,1.73042798689707,1.31732992178485,2.13706315463306,1.00148516656048,-4.08719638067584,-5.14553402209108,-3.03794348439667,10.2870160343025,7.54704479646612,13.1433819600225,7.79270833333333,0.317384660125,87.5730833333333,0.269040175477793,9,2012,"nwis_05435943_2012",1.73042798689707
"362621","nwis_05435943",2012-01-10,1.72922189377522,1.35021626147594,2.1158517720854,0.999064044443933,-4.16218901203584,-5.17129224009705,-3.16704532240079,9.9896564563186,7.41598193246472,12.4554713484755,8.03333333333333,0.311485317,95.1145833333333,0.267367689302517,10,2012,"nwis_05435943_2012",1.72922189377522
"362622","nwis_05435943",2012-01-11,1.81445397587471,1.43438011862164,2.22825615056269,0.999846828528238,-4.29115926713604,-5.43642331997211,-3.21927146771592,10.314985958547,7.55852944976674,12.9070312573967,8.253125,0.31414002140625,96.9691666666667,0.268120308081392,11,2012,"nwis_05435943_2012",1.81445397587471
"362623","nwis_05435943",2012-01-12,1.37844170252156,0.955487281234589,1.80268542180097,0.999724543625806,-4.8094478900887,-6.35008230571523,-3.20031498699084,12.5898806635455,8.51863081700532,16.5999069070384,6.04375,0.32180916746875,39.1137916666667,0.27029454010925,12,2012,"nwis_05435943_2012",1.37844170252156
"362624","nwis_05435943",2012-01-13,1.84194365368824,1.47171056854404,2.24321678948719,0.99906176453684,-3.98703052109563,-4.97544452743641,-3.05632587151626,10.0601763415337,7.44098526364182,12.8025613096514,6.00833333333333,0.311485317,66.40175,0.267367689302517,13,2012,"nwis_05435943_2012",1.84194365368824
"362625","nwis_05435943",2012-01-14,1.9844127854028,1.56659191621474,2.4053771778657,1.00045035927651,-4.32247341471825,-5.37122962882573,-3.31224511808658,11.0046193271593,8.26889900891632,13.6588625435212,6.10833333333333,0.311485317,104.782916666667,0.267367689302517,14,2012,"nwis_05435943_2012",1.9844127854028
"362626","nwis_05435943",2012-01-15,1.98903422202082,1.55902449879114,2.44350108356216,0.999245517037434,-4.40978876368165,-5.50309900124817,-3.34369294752889,11.3042703669187,8.4709991540474,14.4414533350612,6.66145833333333,0.31178028415625,91.133625,0.267451313611281,15,2012,"nwis_05435943_2012",1.98903422202082
"362627","nwis_05435943",2012-01-16,2.12308477208622,1.67869000540867,2.57662400445297,0.999032503448547,-4.2399951022183,-5.23740700611148,-3.29192031888886,10.5600291713107,7.9597790210986,13.1123980648602,8.09583333333333,0.311485317,93.8895416666667,0.267367689302517,16,2012,"nwis_05435943_2012",2.12308477208622
"362628","nwis_05435943",2012-01-17,2.07494825771484,1.62765366395297,2.5226763167152,1.00540370947953,-4.23659470275593,-5.31688395141126,-3.17684022096541,11.137317155711,8.40347520215788,13.968895417355,6.35520833333333,0.31590982434375,33.8641666666667,0.268622053933974,17,2012,"nwis_05435943_2012",2.07494825771484
