missingprop_autocor,parameter,mean,sd,2.5%,50%,97.5%,missingness,type,run_no
propMissAct_0.21_autoCorr_0.75,b_Intercept,5.1278805366733495,0.7870447440506154,3.479873120614869,5.173136599734644,6.543174945836298,MAR,brms,138
propMissAct_0.21_autoCorr_0.75,b_light,1.7875550985658903,0.1976148228712435,1.3815937734466437,1.7953434958133188,2.161154149741961,MAR,brms,138
propMissAct_0.21_autoCorr_0.75,b_Q,-1.5961824333978407,0.2266755732852233,-1.9973857524687115,-1.610867490262906,-1.1153488604098631,MAR,brms,138
propMissAct_0.21_autoCorr_0.75,phi,0.3950858655872864,0.07317443897961926,0.25401310513579345,0.3932388331459915,0.5460380239110529,MAR,brms,138
propMissAct_0.21_autoCorr_0.75,sigma,0.6411995768852591,0.026347404683008523,0.5918115303788939,0.639800625793923,0.6964089953339598,MAR,brms,138
propMissAct_0.21_autoCorr_0.75,Intercept,0.3574330941020839,0.06144818992307744,0.23259343579560435,0.35847170859294647,0.4770234515457127,MAR,brms,138
propMissAct_0.39_autoCorr_0.72,b_Intercept,5.282465691610865,0.8835045793300267,3.4666817937755674,5.323753490288498,6.964997226840217,MAR,brms,138
propMissAct_0.39_autoCorr_0.72,b_light,1.7543525754102862,0.22223907454599956,1.3047787946597116,1.7611077554276686,2.164934221280095,MAR,brms,138
propMissAct_0.39_autoCorr_0.72,b_Q,-1.619246548708397,0.2569196202335443,-2.1064240173376434,-1.6303538527882333,-1.081695114222039,MAR,brms,138
propMissAct_0.39_autoCorr_0.72,phi,0.3922052352508949,0.07839560889212918,0.24261193360419853,0.39036640416695023,0.5518603690812214,MAR,brms,138
propMissAct_0.39_autoCorr_0.72,sigma,0.638395687133745,0.03062326364948626,0.5818414317451082,0.6369957200516214,0.7008442378779722,MAR,brms,138
propMissAct_0.39_autoCorr_0.72,Intercept,0.4162055109846329,0.06592237316976543,0.28517351718622824,0.4170534557780978,0.5476525716037999,MAR,brms,138
propMissAct_0.62_autoCorr_0.72,b_Intercept,4.638511296820453,1.0501319725334508,2.4109317783414084,4.692646395199261,6.517728887090287,MAR,brms,138
propMissAct_0.62_autoCorr_0.72,b_light,1.9967256094903485,0.23865919245044792,1.499413769216045,2.0097803604789424,2.438774623054853,MAR,brms,138
propMissAct_0.62_autoCorr_0.72,b_Q,-1.4639461116034422,0.311194983539519,-2.014636634298293,-1.4839788686342663,-0.7913786211372013,MAR,brms,138
propMissAct_0.62_autoCorr_0.72,phi,0.6341774637352857,0.09835997724465143,0.43204711729623657,0.6394320742703605,0.8154571301160835,MAR,brms,138
propMissAct_0.62_autoCorr_0.72,sigma,0.39067928570860494,0.027754727494650425,0.34038206458411174,0.389617927339322,0.44807438239902164,MAR,brms,138
propMissAct_0.62_autoCorr_0.72,Intercept,0.4259628388932502,0.08313404978966389,0.2661614973524459,0.42550625403445164,0.59082521014591,MAR,brms,138
