"","missingprop_autocor","parameter","mean","sd","2.5%","50%","97.5%","missingness","type","run_no","...1"
"1","propMissAct_0.22_autoCorr_0.8","b_Intercept",4.75240146766196,0.618537989320506,3.50050679099712,4.77058217750955,5.93693636178143,"MAR","brms",10,NA
"2","propMissAct_0.22_autoCorr_0.8","b_light",1.64611390525783,0.174690969676952,1.29825691031123,1.64654429556542,1.97900704133535,"MAR","brms",10,NA
"3","propMissAct_0.22_autoCorr_0.8","b_Q",-1.48313589663528,0.174956657155271,-1.81570322726057,-1.48778662815543,-1.12399578336583,"MAR","brms",10,NA
"4","propMissAct_0.22_autoCorr_0.8","phi",0.44890083473923,0.0430250927323517,0.36483078974338,0.448829169745865,0.533058390420746,"MAR","brms",10,NA
"5","propMissAct_0.22_autoCorr_0.8","sigma",0.764483635255881,0.0221205421984623,0.722109841782389,0.764088591014862,0.808168250782079,"MAR","brms",10,NA
"6","propMissAct_0.22_autoCorr_0.8","Intercept",0.212042728560073,0.055087337531241,0.102894667061813,0.212618346110714,0.320743049485892,"MAR","brms",10,NA
"7","propMissAct_0.27_autoCorr_0.76","b_Intercept",5.79203798459456,0.652769718055049,4.47807106762267,5.80518613764823,7.03804912021311,"MAR","brms",10,NA
"8","propMissAct_0.27_autoCorr_0.76","b_light",1.81597640870751,0.182547363269798,1.44677687671319,1.82208438741402,2.17049153191782,"MAR","brms",10,NA
"9","propMissAct_0.27_autoCorr_0.76","b_Q",-1.81285063099125,0.1834380008652,-2.15984697647907,-1.81677506324076,-1.44140721469994,"MAR","brms",10,NA
"10","propMissAct_0.27_autoCorr_0.76","phi",0.395506703181811,0.0520512178820715,0.29494815912072,0.394901999914648,0.498253181393862,"MAR","brms",10,NA
"11","propMissAct_0.27_autoCorr_0.76","sigma",0.779318359307355,0.0240131801616287,0.733308438399894,0.778838751060379,0.827359819539608,"MAR","brms",10,NA
"12","propMissAct_0.27_autoCorr_0.76","Intercept",0.154649766919406,0.0542989534070052,0.0467866797043271,0.155159803307639,0.258714026235078,"MAR","brms",10,NA
"13","propMissAct_0.26_autoCorr_0.75","b_Intercept",5.13763257474973,0.645107021803383,3.83308579537778,5.15305531555343,6.38789049375271,"MAR","brms",10,NA
"14","propMissAct_0.26_autoCorr_0.75","b_light",1.67931234250995,0.18674067671184,1.30685480887894,1.67865622965569,2.03628643414564,"MAR","brms",10,NA
"15","propMissAct_0.26_autoCorr_0.75","b_Q",-1.61239943279875,0.181468940756548,-1.96361794146731,-1.61716586666595,-1.24339688414592,"MAR","brms",10,NA
"16","propMissAct_0.26_autoCorr_0.75","phi",0.398801186650031,0.0462369239187624,0.310111698785066,0.398065304400868,0.491435664883198,"MAR","brms",10,NA
"17","propMissAct_0.26_autoCorr_0.75","sigma",0.812878108989011,0.0248705821467501,0.764718714943585,0.812342569638094,0.862793493244034,"MAR","brms",10,NA
"18","propMissAct_0.26_autoCorr_0.75","Intercept",0.152256524507746,0.0571758344843839,0.0396579011850077,0.152394381567338,0.263572389898889,"MAR","brms",10,NA
"19","propMissAct_0.26_autoCorr_0.79","b_Intercept",5.20126313025984,0.6045422101111,3.98401080207953,5.21204323859178,6.35750462629175,"MAR","brms",10,NA
"20","propMissAct_0.26_autoCorr_0.79","b_light",1.54019073044946,0.17344487283085,1.19757416441901,1.54000253664344,1.87646450257622,"MAR","brms",10,NA
"21","propMissAct_0.26_autoCorr_0.79","b_Q",-1.58416459654327,0.17068602959091,-1.91074976415946,-1.58472691243509,-1.24076208400347,"MAR","brms",10,NA
"22","propMissAct_0.26_autoCorr_0.79","phi",0.385014895701707,0.0427455170549373,0.301381168572806,0.384995102307775,0.467993125576661,"MAR","brms",10,NA
"23","propMissAct_0.26_autoCorr_0.79","sigma",0.778516465695468,0.0235982651061766,0.733327480059103,0.777800573771515,0.826121138396995,"MAR","brms",10,NA
"24","propMissAct_0.26_autoCorr_0.79","Intercept",0.254134425210053,0.050827000139168,0.153831728636527,0.255430536379638,0.351838738942875,"MAR","brms",10,NA
"25","propMissAct_0.24_autoCorr_0.76","b_Intercept",4.80665564217337,0.636282515994501,3.53589509184991,4.80884837274167,6.03270647284949,"MAR","brms",10,NA
"26","propMissAct_0.24_autoCorr_0.76","b_light",1.63668800794961,0.181959819135303,1.27414021975035,1.64119686997723,1.98281033323424,"MAR","brms",10,NA
"27","propMissAct_0.24_autoCorr_0.76","b_Q",-1.49567710067826,0.179095479896992,-1.83923399919949,-1.4960662906785,-1.13820842007984,"MAR","brms",10,NA
"28","propMissAct_0.24_autoCorr_0.76","phi",0.411409585311803,0.0442173431312018,0.324299839252843,0.411223266570839,0.498138350807681,"MAR","brms",10,NA
"29","propMissAct_0.24_autoCorr_0.76","sigma",0.789727574457412,0.024189992074179,0.744292235505133,0.789000597733517,0.838259224441479,"MAR","brms",10,NA
"30","propMissAct_0.24_autoCorr_0.76","Intercept",0.217466931207498,0.0559603564984045,0.106724973002321,0.217167423870427,0.327845634581078,"MAR","brms",10,NA
"31","propMissAct_0.39_autoCorr_0.76","b_Intercept",5.0350309919916,0.739050154890719,3.50278422941201,5.04748544832367,6.439417240664,"MAR","brms",10,NA
"32","propMissAct_0.39_autoCorr_0.76","b_light",1.79361999689179,0.181309605604177,1.43508142344744,1.79673618288733,2.14518371877382,"MAR","brms",10,NA
"33","propMissAct_0.39_autoCorr_0.76","b_Q",-1.58453579174782,0.209089914694926,-1.97849881337879,-1.58945653377992,-1.14958705993699,"MAR","brms",10,NA
"34","propMissAct_0.39_autoCorr_0.76","phi",0.478120237364031,0.0463603416388421,0.385372636890829,0.478761630856186,0.566822518260389,"MAR","brms",10,NA
"35","propMissAct_0.39_autoCorr_0.76","sigma",0.718161996701238,0.0233655410551012,0.67450716220645,0.717628162811722,0.767096963551564,"MAR","brms",10,NA
"36","propMissAct_0.39_autoCorr_0.76","Intercept",0.199886070492646,0.0595541377559425,0.0860823194272914,0.199775355434902,0.316370699597744,"MAR","brms",10,NA
"37","propMissAct_0.44_autoCorr_0.77","b_Intercept",5.4916398961577,0.764241430046174,3.98351912205991,5.50492192410505,6.95362254116316,"MAR","brms",10,NA
"38","propMissAct_0.44_autoCorr_0.77","b_light",1.93574762390042,0.180682835573634,1.57332004621177,1.93745566054812,2.27896630996876,"MAR","brms",10,NA
"39","propMissAct_0.44_autoCorr_0.77","b_Q",-1.73571683688129,0.21645900164841,-2.14609148632528,-1.73980642281472,-1.30717782926947,"MAR","brms",10,NA
"40","propMissAct_0.44_autoCorr_0.77","phi",0.406191694153711,0.049778140913975,0.308466186417576,0.406132080238681,0.502350148256392,"MAR","brms",10,NA
"41","propMissAct_0.44_autoCorr_0.77","sigma",0.727855198210456,0.0243464524063924,0.68160442353689,0.727206275004072,0.777024520181213,"MAR","brms",10,NA
"42","propMissAct_0.44_autoCorr_0.77","Intercept",0.182205877024202,0.0559086078019485,0.0724953233532386,0.182189120485337,0.29443516058534,"MAR","brms",10,NA
"43","propMissAct_0.44_autoCorr_0.76","b_Intercept",4.43770684059777,0.702200198393689,3.01050509990028,4.45336725133303,5.79682828720548,"MAR","brms",10,NA
"44","propMissAct_0.44_autoCorr_0.76","b_light",1.57721232182321,0.192770864516496,1.18194893703172,1.58428709595057,1.93764993842059,"MAR","brms",10,NA
"45","propMissAct_0.44_autoCorr_0.76","b_Q",-1.39193752109536,0.198204258198312,-1.77137674200476,-1.39574979479395,-0.986365546019923,"MAR","brms",10,NA
"46","propMissAct_0.44_autoCorr_0.76","phi",0.417828589456815,0.0524042804048178,0.315308453121669,0.4175946302326,0.519905970065312,"MAR","brms",10,NA
"47","propMissAct_0.44_autoCorr_0.76","sigma",0.764017022767904,0.0264058075527258,0.714537185428968,0.763488386902295,0.817341892345469,"MAR","brms",10,NA
"48","propMissAct_0.44_autoCorr_0.76","Intercept",0.190984865600782,0.0604230782453824,0.0726938667983702,0.190551046563247,0.311609021584987,"MAR","brms",10,NA
"49","propMissAct_0.43_autoCorr_0.73","b_Intercept",4.51781053159346,0.655519224442635,3.23174278250364,4.51209558326296,5.79219050569893,"MAR","brms",10,NA
"50","propMissAct_0.43_autoCorr_0.73","b_light",1.87890009724084,0.187585329634488,1.5016936602757,1.88308493935002,2.23805228899689,"MAR","brms",10,NA
